PROGRAM_NAME,PROGRAM_URL,CATALOG_NAME,LAST_UPDATED,ID,TITLE,DESCRIPTION,LINK,IMPRESSION_URL,IMAGE_LINK,MOBILE_LINK,ADDITIONAL_IMAGE_LINK,AVAILABILITY,AVAILABILITY_DATE,EXPIRATION_DATE,PRICE,SALE_PRICE,SALE_PRICE_EFFECTIVE_DATE,UNIT_PRICING_MEASURE,UNIT_PRICING_BASE_MEASURE,INSTALLMENT,LOYALTY_POINTS,GOOGLE_PRODUCT_CATEGORY,GOOGLE_PRODUCT_CATEGORY_NAME,PRODUCT_TYPE,BRAND,GTIN,MPN,IDENTIFIER_EXISTS,CONDITION,ADULT,MULTIPACK,IS_BUNDLE,ENERGY_EFFICIENCY_CLASS,AGE_GROUP,COLOR,GENDER,MATERIAL,PATTERN,SIZE,SIZE_TYPE,SIZE_SYSTEM,ITEM_GROUP_ID,CUSTOM_LABEL_0,CUSTOM_LABEL_1,CUSTOM_LABEL_2,CUSTOM_LABEL_3,CUSTOM_LABEL_4,PROMOTION_ID,SHIPPING_LABEL,SHIPPING_WEIGHT,SHIPPING_LENGTH,SHIPPING_WIDTH,SHIPPING_HEIGHT,MINHANDLINGTIME,MAXHANDLINGTIME,PRODUCT_LENGTH,PRODUCT_WIDTH,PRODUCT_HEIGHT,PRODUCT_WEIGHT,PRODUCT_HIGHLIGHT,ADS_REDIRECT,SHOPPING_ADS_EXCLUDED_COUNTRY,SHIPS_FROM_COUNTRY,TRANSIT_TIME_LABEL,COST_OF_GOODS_SOLD,SHIPPING(COUNTRY:REGION:SERVICE:PRICE),SHIPPING(MIN_HANDLING_TIME),SHIPPING(MAX_HANDLING_TIME),SHIPPING(PRICE),SHIPPING(COUNTRY),SHIPPING(MIN_TRANSIT_TIME),SHIPPING(MAX_TRANSIT_TIME),SHIPPING(COUNTRY:POSTAL_CODE:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_ID:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_GROUP_NAME:SERVICE:PRICE),TAX(RATE:COUNTRY:TAX_SHIP:REGION),TAX(RATE:COUNTRY:TAX_SHIP:POSTAL_CODE),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_ID),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_GROUP_NAME),SUBSCRIPTION_COST(PERIOD),SUBSCRIPTION_COST(PERIOD_LENGTH),SUBSCRIPTION_COST(AMOUNT),PRODUCT_DETAIL(SECTION_NAME),PRODUCT_DETAIL(ATTRIBUTE_NAME),PRODUCT_DETAIL(ATTRIBUTE_VALUE),CERTIFICATION(CERTIFICATION_AUTHORITY:CERTIFICATION_NAME:CERTIFICATION_CODE:CERTIFICATION_VALUE)
Cigora,http://www.cigora.com,Cigora Products Feed 2,2025-05-14T08:20:09.930-07:00,0BL-PM-1000,"""Black Label Trading Co. Memento Mori Robusto (5.0"""" x 50)""","""Black Label Trading Co. Memento Mori Robusto (5.0"""" x 50)""",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fblack-label-trading-company%2Fblack-label-trading-co.-memento-mori%2F0BL-PM.html,https://www.awltovhc.com/image-101532120-17074123,https://www.cigora.com/dw/image/v2/BGGB_PRD/on/demandware.static/-/Sites-cigora-master-catalog/default/dw31df420c/images/Black-Label-Trading-Company/Memento-Mori/0BL-PM+BX020+6546-01_cu.jpg,,,out of stock,,,197.99 USD,,,,,,,,,,Black Label Trading Company,,0BL-PM-1000,yes,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
Cigora,http://www.cigora.com,Cigora Products Feed 2,2025-05-14T08:20:09.932-07:00,0BL-PM-1001,"""Black Label Trading Co. Memento Mori Robusto (5.0"""" x 50)""","""Black Label Trading Co. Memento Mori Robusto (5.0"""" x 50)""",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fblack-label-trading-company%2Fblack-label-trading-co.-memento-mori%2F0BL-PM.html,https://www.awltovhc.com/image-101532120-17074123,https://www.cigora.com/dw/image/v2/BGGB_PRD/on/demandware.static/-/Sites-cigora-master-catalog/default/dw31df420c/images/Black-Label-Trading-Company/Memento-Mori/0BL-PM+BX020+6546-01_cu.jpg,,,out of stock,,,52.50 USD,,,,,,,,,,Black Label Trading Company,,0BL-PM-1001,yes,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
Cigora,http://www.cigora.com,Cigora Products Feed 2,2025-05-14T08:20:09.933-07:00,0BL-PM-1003,"""Black Label Trading Co. Memento Mori Corona (5.5"""" x 42)""","""Black Label Trading Co. Memento Mori Corona (5.5"""" x 42)""",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fblack-label-trading-company%2Fblack-label-trading-co.-memento-mori%2F0BL-PM.html,https://www.awltovhc.com/image-101532120-17074123,https://www.cigora.com/dw/image/v2/BGGB_PRD/on/demandware.static/-/Sites-cigora-master-catalog/default/dw31df420c/images/Black-Label-Trading-Company/Memento-Mori/0BL-PM+BX020+6546-01_cu.jpg,,,out of stock,,,188.99 USD,,,,,,,,,,Black Label Trading Company,,0BL-PM-1003,yes,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
Cigora,http://www.cigora.com,Cigora Products Feed 2,2025-05-14T08:20:09.934-07:00,0BL-PM-1004,"""Black Label Trading Co. Memento Mori Corona (5.5"""" x 42)""","""Black Label Trading Co. Memento Mori Corona (5.5"""" x 42)""",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fblack-label-trading-company%2Fblack-label-trading-co.-memento-mori%2F0BL-PM.html,https://www.awltovhc.com/image-101532120-17074123,https://www.cigora.com/dw/image/v2/BGGB_PRD/on/demandware.static/-/Sites-cigora-master-catalog/default/dw31df420c/images/Black-Label-Trading-Company/Memento-Mori/0BL-PM+BX020+6546-01_cu.jpg,,,out of stock,,,50.00 USD,,,,,,,,,,Black Label Trading Company,,0BL-PM-1004,yes,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
Cigora,http://www.cigora.com,Cigora Products Feed 2,2025-05-14T08:20:09.935-07:00,0BL-PM-1006,"""Black Label Trading Co. Memento Mori Lonsdale (6.5"""" x 46)""","""Black Label Trading Co. Memento Mori Lonsdale (6.5"""" x 46)""",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fblack-label-trading-company%2Fblack-label-trading-co.-memento-mori%2F0BL-PM.html,https://www.awltovhc.com/image-101532120-17074123,https://www.cigora.com/dw/image/v2/BGGB_PRD/on/demandware.static/-/Sites-cigora-master-catalog/default/dw31df420c/images/Black-Label-Trading-Company/Memento-Mori/0BL-PM+BX020+6546-01_cu.jpg,,,out of stock,,,215.99 USD,,,,,,,,,,Black Label Trading Company,,0BL-PM-1006,yes,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
Cigora,http://www.cigora.com,Cigora Products Feed 2,2025-05-14T08:20:09.936-07:00,0BL-PM-1007,"""Black Label Trading Co. Memento Mori Lonsdale (6.5"""" x 46)""","""Black Label Trading Co. Memento Mori Lonsdale (6.5"""" x 46)""",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fblack-label-trading-company%2Fblack-label-trading-co.-memento-mori%2F0BL-PM.html,https://www.awltovhc.com/image-101532120-17074123,https://www.cigora.com/dw/image/v2/BGGB_PRD/on/demandware.static/-/Sites-cigora-master-catalog/default/dw31df420c/images/Black-Label-Trading-Company/Memento-Mori/0BL-PM+BX020+6546-01_cu.jpg,,,out of stock,,,57.00 USD,,,,,,,,,,Black Label Trading Company,,0BL-PM-1007,yes,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
Cigora,http://www.cigora.com,Cigora Products Feed 2,2025-05-14T08:20:09.937-07:00,0BL-PM-1008,"""Black Label Trading Co. Memento Mori Lonsdale (6.5"""" x 46)""","""Black Label Trading Co. Memento Mori Lonsdale (6.5"""" x 46)""",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fblack-label-trading-company%2Fblack-label-trading-co.-memento-mori%2F0BL-PM.html,https://www.awltovhc.com/image-101532120-17074123,https://www.cigora.com/dw/image/v2/BGGB_PRD/on/demandware.static/-/Sites-cigora-master-catalog/default/dw31df420c/images/Black-Label-Trading-Company/Memento-Mori/0BL-PM+BX020+6546-01_cu.jpg,,,out of stock,,,12.00 USD,,,,,,,,,,Black Label Trading Company,,0BL-PM-1008,yes,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
Cigora,http://www.cigora.com,Cigora Products Feed 2,2025-05-14T08:20:09.938-07:00,0FK-PM-1000,"""Las Calaveras LE 2022 LC46  (5.8"""" x 46)""","""Las Calaveras LE 2022 LC46  (5.8"""" x 46)""",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fcrowned-heads-cigars%2Flas-calaveras-le-2022%2F0FK-PM.html,https://www.awltovhc.com/image-101532120-17074123,https://www.cigora.com/dw/image/v2/BGGB_PRD/on/demandware.static/-/Sites-cigora-master-catalog/default/dw72eff45a/images/Las-Calaveras/LE-2022/0FK-PM+BX024+5846-01_cu.jpg,,,out of stock,,,258.99 USD,,,,,,,,,,Crowned Heads,,0FK-PM-1000,yes,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
Cigora,http://www.cigora.com,Cigora Products Feed 2,2025-05-14T08:20:09.938-07:00,0FK-PM-1001,"""Las Calaveras LE 2022 LC46  (5.8"""" x 46)""","""Las Calaveras LE 2022 LC46  (5.8"""" x 46)""",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fcrowned-heads-cigars%2Flas-calaveras-le-2022%2F0FK-PM.html,https://www.awltovhc.com/image-101532120-17074123,https://www.cigora.com/dw/image/v2/BGGB_PRD/on/demandware.static/-/Sites-cigora-master-catalog/default/dw72eff45a/images/Las-Calaveras/LE-2022/0FK-PM+BX024+5846-01_cu.jpg,,,out of stock,,,56.99 USD,,,,,,,,,,Crowned Heads,,0FK-PM-1001,yes,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
Cigora,http://www.cigora.com,Cigora Products Feed 2,2025-05-14T08:20:09.939-07:00,0FK-PM-1002,"""Las Calaveras LE 2022 LC46  (5.8"""" x 46)""","""Las Calaveras LE 2022 LC46  (5.8"""" x 46)""",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fcrowned-heads-cigars%2Flas-calaveras-le-2022%2F0FK-PM.html,https://www.awltovhc.com/image-101532120-17074123,https://www.cigora.com/dw/image/v2/BGGB_PRD/on/demandware.static/-/Sites-cigora-master-catalog/default/dw72eff45a/images/Las-Calaveras/LE-2022/0FK-PM+BX024+5846-01_cu.jpg,,,out of stock,,,11.99 USD,,,,,,,,,,Crowned Heads,,0FK-PM-1002,yes,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
