retailer,cid,issue_type,field,retailer_value,master_value
smokeinn,DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,metadata_mismatch,wrapper,Mexican San Andres Maduro,Mexican San Andres
smokeinn,DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,metadata_mismatch,vitola,Lonsdale,Lonsdale Deluxe
smokeinn,HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,metadata_mismatch,wrapper,Connecticut Shade,Connecticut Broadleaf
holts,HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,metadata_mismatch,wrapper,Connecticut Shade,Connecticut Broadleaf
holts,ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,metadata_mismatch,line,Vsg,VSG
holts,ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,metadata_mismatch,wrapper,Ecuadorian Connecticut,Ecuadorian Sun Grown
atlantic,HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,metadata_mismatch,wrapper,Connecticut Shade,Connecticut Broadleaf
atlantic,PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|CAM|BOX25,orphaned_cid,cigar_id,PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|CAM|BOX25,NOT_FOUND
atlantic,PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|CAM,orphaned_cid,cigar_id,PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|CAM,NOT_FOUND
foxcigar,PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|CAM,orphaned_cid,cigar_id,PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|CAM,NOT_FOUND
