retailer,unique_cigars,days_active,total_records,avg_price,lowest_price,highest_price,stock_rate_pct,first_tracked,last_tracked
cigarsdirect,13,1,13,400.0,169.0,1649.99,38.5,2025-11-24,2025-11-24
hilands,12,1,12,272.3,184.98,439.98,83.3,2025-11-24,2025-11-24
neptune,12,1,12,273.48,166.95,435.0,91.7,2025-11-24,2025-11-24
nickscigarworld,12,1,12,282.8,150.95,455.0,100.0,2025-11-24,2025-11-24
atlantic,11,1,11,260.72,136.85,455.0,100.0,2025-11-24,2025-11-24
smallbatchcigar,11,1,11,317.18,194.0,491.0,72.7,2025-11-24,2025-11-24
smokeinn,10,1,10,276.4,163.95,454.95,80.0,2025-11-24,2025-11-24
foxcigar,10,1,10,321.09,193.99,535.99,80.0,2025-11-24,2025-11-24
absolutecigars,9,1,9,265.56,203.0,356.0,77.8,2025-11-24,2025-11-24
holts,9,1,9,266.73,160.04,455.0,88.9,2025-11-24,2025-11-24
tobaccolocker,6,1,6,267.69,135.35,455.0,100.0,2025-11-24,2025-11-24
bnbtobacco,5,1,5,228.99,179.99,279.99,80.0,2025-11-24,2025-11-24
planetcigars,4,1,4,204.72,132.97,256.97,100.0,2025-11-24,2025-11-24
tampasweethearts,4,1,4,254.2,197.95,326.95,100.0,2025-11-24,2025-11-24
gothamcigars,3,1,3,286.66,184.99,409.99,100.0,2025-11-24,2025-11-24
twoguys,3,1,3,316.32,243.99,454.99,66.7,2025-11-24,2025-11-24
cccrafter,3,1,3,320.66,199.99,431.99,100.0,2025-11-24,2025-11-24
watchcity,2,1,2,409.5,409.5,409.5,100.0,2025-11-24,2025-11-24
