Brand,Line,Wrapper,Wrapper_Alias,Vitola,Length,Ring Gauge,Binder,Filler,Strength,Box Quantity,Style,cigar_id,parent_brand,sub_brand,product_name,wrapper_code,packaging_type,country_of_origin,factory,release_type,sampler_flag,msrp_stick_usd,msrp_box_usd,first_release_year,discontinued_flag,retailer_sku,upc_ean,notes,source_url
Arturo Fuente,Gran Reserva,Cameroon,Natural,Canones,8.5,52,Dominican,Dominican,Medium,20,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CANONES|CANONES|8.5x52|CAM|BOX20,Arturo Fuente,,Canones,CAM,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,Maduro,Connecticut Broadleaf,Canones,8.5,52,Dominican,Dominican,Medium,20,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CANONES|CANONES|8.5x52|MAD|BOX20,Arturo Fuente,,Canones,CT,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,Cameroon,Natural,Churchill,7.25,48,Dominican,Dominican,Medium,25,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CHURCHILL|CHURCHILL|7.25x48|CAM|BOX25,Arturo Fuente,,Churchill,CAM,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,Maduro,Connecticut Broadleaf,Churchill,7.25,48,Dominican,Dominican,Medium,25,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CHURCHILL|CHURCHILL|7.25x48|MAD|BOX25,Arturo Fuente,,Churchill,CT,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,Claro,Candela,Churchill,7.25,48,Dominican,Dominican,Mild-Medium,25,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CHURCHILL|CHURCHILL|7.25x48|CLA|BOX25,Arturo Fuente,,Churchill,NAT,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,Cameroon,Natural,Churchill,7.25,48,Dominican,Dominican,Medium,1,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CHURCHILL|CHURCHILL|7.25x48|CAM|BOX1,Arturo Fuente,,Churchill,CAM,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,Cameroon,Natural,Churchill,7.25,48,Dominican,Dominican,Medium,5,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CHURCHILL|CHURCHILL|7.25x48|CAM|BOX5,Arturo Fuente,,Churchill,CAM,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,Cameroon,Natural,Corona,5.25,45,Dominican,Dominican,Medium,25,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CORONA|CORONA|5.25x45|CAM|BOX25,Arturo Fuente,,Corona,CAM,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,Maduro,Connecticut Broadleaf,Corona,5.25,45,Dominican,Dominican,Medium,25,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CORONA|CORONA|5.25x45|MAD|BOX25,Arturo Fuente,,Corona,CT,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,Cameroon,Natural,Corona Imperial,6.5,46,Dominican,Dominican,Medium,25,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CORONAIMPERIAL|CORONAIMPERIAL|6.5x46|CAM|BOX25,Arturo Fuente,,Corona Imperial,CAM,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,Maduro,Connecticut Broadleaf,Corona Imperial,6.5,46,Dominican,Dominican,Medium,25,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CORONAIMPERIAL|CORONAIMPERIAL|6.5x46|MAD|BOX25,Arturo Fuente,,Corona Imperial,CT,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,D'Oro,Connecticut Shade,Corona Imperial,6.5,46,Dominican,Dominican,Medium,25,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CORONAIMPERIAL|CORONAIMPERIAL|6.5x46|D'O|BOX25,Arturo Fuente,,Corona Imperial,CT,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
Arturo Fuente,Gran Reserva,Cameroon,Natural,Cubanitos,4.5,32,Dominican,Dominican,Medium,10,Parejo,ARTUROFUENTE|ARTUROFUENTE|GRANRESERVA|CUBANITOS|CUBANITOS|4.5x32|CAM|BOX10,Arturo Fuente,,Cubanitos,CAM,Box,Dominican Republic,Tabacalera A. Fuente y Cia.,Regular Production,N,,,,N,,,,
