Brand	Line	Wrapper	Wrapper_Alias	Vitola	Length	Ring Gauge	Binder	Filler	Strength	Box Quantity	Shape
Arturo Fuente	Gran Reserva	Cameroon	Natural	Cubanitos	4.5	32	Dominican	Dominican	Medium	10	Parejo
Arturo Fuente	Gran Reserva	Cameroon	Natural	Petit Corona	5	38	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Maduro	Connecticut Broadleaf	Petit Corona	5	38	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Cameroon	Natural	Corona	5.25	45	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Maduro	Connecticut Broadleaf	Corona	5.25	45	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Cameroon	Natural	Rothschild	4.5	50	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Maduro	Connecticut Broadleaf	Rothschild	4.5	50	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Cameroon	Natural	Flor Fina 8-5-8	6	47	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Maduro	Connecticut Broadleaf	Flor Fina 8-5-8	6	47	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Sun Grown	Ecuadorian Sungrown	Flor Fina 8-5-8	6	47	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Claro	Candela	Flor Fina 8-5-8	6	47	Dominican	Dominican	Mild-Medium	25	Parejo
Arturo Fuente	Gran Reserva	Cameroon	Natural	Spanish Lonsdale	6.5	42	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Maduro	Connecticut Broadleaf	Spanish Lonsdale	6.5	42	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Claro	Candela	Spanish Lonsdale	6.5	42	Dominican	Dominican	Mild-Medium	25	Parejo
Arturo Fuente	Gran Reserva	Cameroon	Natural	Corona Imperial	6.5	46	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Maduro	Connecticut Broadleaf	Corona Imperial	6.5	46	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	D'Oro	Connecticut Shade	Corona Imperial	6.5	46	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Cameroon	Natural	Seleccion Privada No. 1	6.75	44	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Maduro	Connecticut Broadleaf	Seleccion Privada No. 1	6.75	44	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Claro	Candela	Seleccion Privada No. 1	6.75	44	Dominican	Dominican	Mild-Medium	25	Parejo
Arturo Fuente	Gran Reserva	Cameroon	Natural	Churchill	7.25	48	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Maduro	Connecticut Broadleaf	Churchill	7.25	48	Dominican	Dominican	Medium	25	Parejo
Arturo Fuente	Gran Reserva	Claro	Candela	Churchill	7.25	48	Dominican	Dominican	Mild-Medium	25	Parejo
Arturo Fuente	Gran Reserva	Cameroon	Natural	Canones	8.5	52	Dominican	Dominican	Medium	20	Parejo
Arturo Fuente	Gran Reserva	Maduro	Connecticut Broadleaf	Canones	8.5	52	Dominican	Dominican	Medium	20	Parejo
Arturo Fuente	Chateau Fuente	Connecticut Shade	Natural	Chateau Fuente	4.5	50	Dominican	Dominican	Medium	20	Parejo
Arturo Fuente	Chateau Fuente	Maduro	Connecticut Broadleaf	Chateau Fuente	4.5	50	Dominican	Dominican	Medium	20	Parejo
Arturo Fuente	Chateau Fuente	Sun Grown	Ecuadorian Sungrown	Chateau Fuente	4.5	50	Dominican	Dominican	Medium	20	Parejo
Arturo Fuente	Chateau Fuente	Sun Grown	Ecuadorian Sungrown	Belicoso	5.75	51	Dominican	Dominican	Medium	24	Belicoso
Arturo Fuente	Chateau Fuente	Connecticut Shade	Natural	Queen B	5.5	52	Dominican	Dominican	Medium	18	Parejo
Arturo Fuente	Chateau Fuente	Sun Grown	Ecuadorian Sungrown	Queen B	5.5	52	Dominican	Dominican	Medium	18	Parejo
