title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
Undercrown Maduro Flying Pig,https://foxcigar.com/shop/cigars/drew-estate/undercrown-maduro-flying-pig/,Drew Estate,Undercrown Maduro,Maduro,Unknown,nanxnan,1,15.95,True
Davidoff Primeros Nicaragua Maduro Tin,https://foxcigar.com/shop/cigars/davidoff/davidoff-primeros-nicaragua-maduro/,Unknown,Unknown,Maduro,Unknown,nanxnan,1,33.99,False
Avo Heritage Robusto,https://foxcigar.com/shop/cigars/avo/avo-heritage-robusto/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,10.9,False
God Of Fire Double Robusto,https://foxcigar.com/shop/cigars/arturo-fuente/god-of-fire-double-robusto/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,29.25,False
Black Label Trading Co. Deliverance Porcelain Robusto,https://foxcigar.com/shop/cigars/black-label-trading-co/deliverance-porcelain/black-label-trading-co-deliverance-porcelain-robusto/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,11.3,False
Avo Syncro Caribe Special Toro,https://foxcigar.com/shop/cigars/avo/syncro-caribe-special-toro/,Unknown,Unknown,Unknown,Toro,nanxnan,1,15.1,False
Saint Luis Rey Carenas Robusto,https://foxcigar.com/shop/cigars/saint-luis-rey/saint-luis-rey-carenas-robusto/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,9.93,False
My Father La Duena No. 5 Robusto,https://foxcigar.com/shop/cigars/my-father/my-father-la-duena-robusto-no-5/,My Father,La Duena,Unknown,Robusto,nanxnan,1,8.85,True
Padron 1964 Anniversary Series Torpedo Maduro,https://foxcigar.com/shop/cigars/padron/padron-1964-anniversary-series-torpedo-maduro/,Padron,1964 Anniversary,Maduro,Torpedo,nanxnan,1,20.15,False
God Of Fire Serie Aniversario Sampler,https://foxcigar.com/shop/cigars/god-of-fire/god-of-fire-serie-aniversario-sampler/,Serie V,Unknown,Unknown,Unknown,nanxnan,1,158.0,True
Guy Fieris Knuckle Sandwich Habano Robusto J,https://foxcigar.com/shop/cigars/espinosa/guy-fieri-knuckle-sandwich-habano-robusto-j/,Unknown,Unknown,Habano,Robusto,nanxnan,1,13.4,False
Padron 1926 40Th Anniversary Chest Natural,https://foxcigar.com/shop/cigars/padron/padron-1926-40th-anniversary-chest-natural/,Padron,1926 Anniversary,Connecticut Shade,Unknown,nanxnan,1,2182.0,False
Cavalier Inner Circle Robusto Grande,https://foxcigar.com/shop/cigars/cavalier-geneve/cavalier-inner-circle-robusto-grande/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,15.08,False
La Aroma De Cuba Mi Amor Robusto,https://foxcigar.com/shop/cigars/ashton/la-aroma-de-cuba-mi-amor-robusto/,La Aroma de Cuba,Mi Amor,Unknown,Robusto,nanxnan,1,8.75,False
Sancho Panza Double Maduro Robusto,https://foxcigar.com/shop/cigars/sancho-panza/double-maduro-robusto/,Unknown,Unknown,Maduro,Robusto,nanxnan,1,8.29,False
Liga Privada H99 Toro,https://foxcigar.com/shop/cigars/drew-estate/liga-privada-h99-toro/,Drew Estate,Liga Privada H99,Unknown,Toro,nanxnan,1,18.25,False
Angelenos Robusto,https://foxcigar.com/shop/cigars/angelenos/angelenos-robusto/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,13.25,False
Super Deluxe Petite Corona Bp,https://foxcigar.com/shop/cigars/black-label-trading-co/super-deluxe-petite-corona-bp/,Unknown,Unknown,Unknown,Corona,nanxnan,1,11.0,False
Asylum 13 Cool Brew Robusto,https://foxcigar.com/shop/cigars/asylum/asylum-13-cool-brew-robusto/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,10.5,True
Rocky Patel Disciple Robusto,https://foxcigar.com/shop/cigars/rocky-patel/disciple/rocky-patel-disciple-robusto/,Rocky Patel,Unknown,Unknown,Robusto,nanxnan,1,11.65,True
God Of Fire Kkp Never Back Down Toro Extra 54,https://foxcigar.com/shop/cigars/god-of-fire/god-of-fire-kkp-never-back-down-toro-extra-54/,Unknown,Unknown,Unknown,Toro,nanxnan,1,53.95,False
La Aurora 100 Años Robusto Especiales Maduro,https://foxcigar.com/shop/cigars/la-aurora/la-aurora-100-anos-robusto-especiales-maduro/,Unknown,Unknown,Maduro,Robusto,nanxnan,1,17.75,True
Montecristo 1935 Anniversary Nicaragua Toro,https://foxcigar.com/shop/cigars/montecristo/montecristo-1935-anniversary-nicaragua-toro/,Montecristo,1935 Anniversary Nicaragua,Unknown,Toro,nanxnan,1,20.64,False
A Father And His Son Sampler,https://foxcigar.com/shop/cigars/arturo-fuente/opus-x/a-father-and-his-son-sampler/,My Father,Unknown,Unknown,Unknown,nanxnan,1,379.99,False
Montesino Robusto Natural,https://foxcigar.com/shop/cigars/arturo-fuente/montesino-robusto-natural/,Montecristo,Unknown,Connecticut Shade,Robusto,nanxnan,1,5.9,False
Brick House Toro,https://foxcigar.com/shop/cigars/j-c-newman/brick-house-toro/,Unknown,Unknown,Unknown,Toro,nanxnan,1,8.35,False
Davidoff Millennium Petit Corona,https://foxcigar.com/shop/cigars/davidoff/davidoff-millennium-petit-corona/,Unknown,Unknown,Unknown,Petit Corona,nanxnan,1,18.7,False
La Unica No. 100 Maduro,https://foxcigar.com/shop/cigars/j-c-newman/la-unica-no-100-maduro/,Unknown,Unknown,Maduro,Unknown,nanxnan,1,45.75,False
Cavalier Bii Viso Jalapa Toro 6 X 54,https://foxcigar.com/shop/cigars/cavalier-geneve/cavalier-bii-viso-jalapa-toro/,Unknown,Unknown,Unknown,Toro,6.0x54.0,1,11.76,False
Casa Fuente Churchill,https://foxcigar.com/shop/cigars/arturo-fuente/casa-fuente-churchill/,Arturo Fuente,Unknown,Unknown,Churchill,nanxnan,1,30.0,False
Super Deluxe Robusto Bp,https://foxcigar.com/shop/cigars/black-label-trading-co/super-deluxe-robusto-bp/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,12.0,False
Perla Del Mar Corojo Corona Gorda,https://foxcigar.com/shop/cigars/j-c-newman/perla-del-mar-corojo-corona-gorda/,Unknown,Unknown,Corojo,Corona,nanxnan,1,7.55,False
Cavalier Bii Viso Jalapa Toro Gordo 6 X 60,https://foxcigar.com/shop/cigars/boutique/cavalier-bii-viso-jalapa-toro-gordo/,Unknown,Unknown,Unknown,Toro,6.0x60.0,1,12.38,False
La Gloria Cubana Serie S Maduro Robusto Gordo,https://foxcigar.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-serie-s-maduro-robusto-gordo/,Serie V,Unknown,Maduro,Robusto,nanxnan,1,8.29,False
Padron 1964 Anniversary Serie Monarca Natural,https://foxcigar.com/shop/cigars/padron/1964/monarca/,Padron,1964 Anniversary,Connecticut Shade,Unknown,nanxnan,1,15.35,False
Buffalo Trace Toro Box With Buffalo Trace Bourbon Package,https://foxcigar.com/shop/collectable-barrel-pairings/buffalo-trace-toro-box-with-buffalo-trace-bourbon-package/,Unknown,Unknown,Unknown,Toro,nanxnan,1,204.99,True
Padron 1964 Anniversary Series Maduro Sampler,https://foxcigar.com/shop/cigars/padron/padron-1964-anniversary-series-maduro-sampler/,Padron,1964 Anniversary,Maduro,Unknown,nanxnan,1,117.55,False
