retailer,url,name,price,brand,line,vitola,wrapper,ring_gauge,length,availability,platform,tier,brand_source,scraped_at
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/undercrown-maduro-flying-pig/,Undercrown Maduro Flying Pig,15.95,Drew Estate,,Unknown,Maduro,,,In Stock,WooCommerce,1,priority_variation,2025-10-26T20:03:39.458469
Fox Cigar,https://foxcigar.com/shop/cigars/davidoff/davidoff-primeros-nicaragua-maduro/,Davidoff Primeros Nicaragua Maduro Tin,33.99,Unknown,,Unknown,Maduro,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:03:41.840190
Fox Cigar,https://foxcigar.com/shop/cigars/avo/avo-heritage-robusto/,AVO Heritage Robusto,10.9,Unknown,,Robusto,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:03:44.002470
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/liga-privada-t52-coronets/,Liga Privada T52 Coronets,19.99,Drew Estate,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,priority_variation,2025-10-26T20:03:46.517885
Fox Cigar,https://foxcigar.com/shop/cigars/arturo-fuente/god-of-fire-double-robusto/,God of Fire Double Robusto,29.25,Unknown,,Robusto,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:03:48.744916
Fox Cigar,https://foxcigar.com/shop/cigars/black-label-trading-co/deliverance-porcelain/black-label-trading-co-deliverance-porcelain-robusto/,Black Label Trading Co. Deliverance Porcelain Robusto,11.3,Unknown,,Robusto,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:03:51.398421
Fox Cigar,https://foxcigar.com/shop/cigars/avo/syncro-caribe-special-toro/,AVO Syncro Caribe Special Toro,15.1,Unknown,,Toro,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:03:54.134549
Fox Cigar,https://foxcigar.com/shop/cigars/tatuaje/tatuaje-20th-anniversary-grande-merveille/,Tatuaje 20th Anniversary Grande Merveille,13.0,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:03:56.913848
Fox Cigar,https://foxcigar.com/shop/cigars/limited-release/arturo-fuente-don-carlos-eye-of-the-shark-5-count-box/,Arturo Fuente Don Carlos Eye Of The Shark 5 Count Box,129.99,Arturo Fuente,Don Carlos,Unknown,Unknown,,,Out of Stock,WooCommerce,1,master_combined,2025-10-26T20:04:00.171553
Fox Cigar,https://foxcigar.com/shop/cigars/saint-luis-rey/saint-luis-rey-carenas-robusto/,Saint Luis Rey Carenas Robusto,9.93,Unknown,,Robusto,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:02.131295
Fox Cigar,https://foxcigar.com/shop/cigars/my-father/my-father-la-duena-robusto-no-5/,My Father La Duena No. 5 Robusto,8.85,My Father,La Duena,Robusto,Unknown,,,In Stock,WooCommerce,1,master_combined,2025-10-26T20:04:04.538339
Fox Cigar,https://foxcigar.com/shop/accessories/lighters/st-dupont/slim-7-lighter-navy-blue/,S.T. Dupont Slim 7 Lighter Navy Blue – 027738,245.0,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:04:07.819920
Fox Cigar,https://foxcigar.com/shop/cigars/gran-habano/5-corojo/gran-habano-corojo-5-imperiales/,Gran Habano Corojo #5 Imperiales,9.3,Unknown,,Unknown,Habano,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:10.356656
Fox Cigar,https://foxcigar.com/shop/cigars/asylum/insidious-by-asylum-64-x-7/,Insidious By Asylum 64 x 7,9.26,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:04:12.744525
Fox Cigar,https://foxcigar.com/shop/cigars/padron/padron-1964-anniversary-series-torpedo-maduro/,Padron 1964 Anniversary Series Torpedo Maduro,20.15,Padron,1964 Anniversary,Torpedo,Maduro,,,Out of Stock,WooCommerce,1,master_combined,2025-10-26T20:04:15.135164
Fox Cigar,https://foxcigar.com/shop/cigars/god-of-fire/god-of-fire-serie-aniversario-sampler/,God of Fire Serie Aniversario Sampler,158.0,Serie V,,Unknown,Unknown,,,In Stock,WooCommerce,1,fuzzy_priority,2025-10-26T20:04:17.465148
Fox Cigar,https://foxcigar.com/shop/cigars/henry-clay/henry-clay-rustic-cheroot/,Henry Clay Rustic Cheroot,3.85,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:19.907154
Fox Cigar,https://foxcigar.com/shop/cigars/espinosa/guy-fieri-knuckle-sandwich-habano-robusto-j/,Guy Fieri’s Knuckle Sandwich Habano Robusto J,13.4,Unknown,,Robusto,Habano,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:22.451131
Fox Cigar,https://foxcigar.com/shop/cigars/tatuaje/tatuaje-cojonu-2018-broadleaf/,Tatuaje Cojonu 2018 Broadleaf,13.5,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:04:25.022896
Fox Cigar,https://foxcigar.com/shop/cigars/padron/padron-1926-40th-anniversary-chest-natural/,Padron 1926 40th Anniversary Chest Natural,2182.0,Padron,Damaso,Unknown,Natural,,,Out of Stock,WooCommerce,1,master_exact,2025-10-26T20:04:27.127164
Fox Cigar,https://foxcigar.com/shop/accessories/god-of-fire-never-back-down-retro-red-on-black-lighter/,God of Fire “Never Back Down” (Retro) Red on Black lighter,99.0,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:29.377026
Fox Cigar,https://foxcigar.com/shop/cigars/cavalier-geneve/cavalier-inner-circle-robusto-grande/,Cavalier Inner Circle Robusto Grande,15.08,Unknown,,Robusto,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:31.842157
Fox Cigar,https://foxcigar.com/shop/cigars/cao/cao-bx3-gordo/,CAO BX3 Gordo,11.19,CAO,Nicaragua,Unknown,Unknown,,,Out of Stock,WooCommerce,1,master_exact,2025-10-26T20:04:34.165144
Fox Cigar,https://foxcigar.com/shop/accessories/lighters/s-t-dupont-bq-defi-extreme-fluo-vert/,S.T. Dupont BQ Defi Xtreme Fluo Vert – 021417,315.0,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:04:36.438648
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/acid/acid-kuba-deluxe/,Acid Kuba Deluxe,14.2,Drew Estate,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,priority_variation,2025-10-26T20:04:38.793932
Fox Cigar,https://foxcigar.com/shop/cigars/ashton/la-aroma-de-cuba-mi-amor-robusto/,La Aroma de Cuba Mi Amor Robusto,8.75,La Aroma de Cuba,Mi Amor,Robusto,Unknown,,,Out of Stock,WooCommerce,1,master_combined,2025-10-26T20:04:41.541046
Fox Cigar,https://foxcigar.com/shop/cigars/sancho-panza/double-maduro-robusto/,Sancho Panza Double Maduro Robusto,8.29,Unknown,,Robusto,Maduro,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:44.013578
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/liga-privada-h99-toro/,Liga Privada H99 Toro,18.25,Drew Estate,,Toro,Unknown,,,Out of Stock,WooCommerce,1,priority_variation,2025-10-26T20:04:46.192477
Fox Cigar,https://foxcigar.com/shop/cigars/angelenos/angelenos-robusto/,Angelenos Robusto,13.25,Unknown,,Robusto,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:48.664611
