cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Arturo Fuente Hemingway Signature Natural,https://baysidecigars.com/products/arturo-fuente-hemingway-signature,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,340.00,False,
ARTUROFUENTE|ARTUROFUENTE|DONCARLOS|PERSONALRESERVEEYEOFTHESHARK|PERSONALRESERVEEYEOFTHESHARK|5.25x52|CAM|BOX20,Personal Reserve Eye of the Shark,https://baysidecigars.com/products/arturo-fuente-don-carlos-eye-of-the-shark,Arturo Fuente,Don Carlos,Cameroon,Personal Reserve Eye of the Shark,5.25x52,20,849.0,True,
MONTECRISTO|MONTECRISTO|CLASSIC|ROBUSTO|ROBUSTO|5x50|CT|BOX20,Robusto,https://baysidecigars.com/products/montecristo-classic-series-robusto,Montecristo,Classic,Connecticut Shade,Robusto,5x50,20,365.0,True,
MYFATHER|MYFATHER|FLORDELASANTILLAS|PETITROBUSTO|PETITROBUSTO|4.5x52|NIC|BOX20,Petit Robusto,https://baysidecigars.com/products/my-father-flor-de-las-antillas-maduro-petit-robusto,My Father,Flor de las Antillas,Nicaraguan Sun Grown,Petit Robusto,4.5x52,20,180.0,True,
MYFATHER|MYFATHER|LEBIJOU1922|TORPEDO|TORPEDO|6.5x52|NIC|BOX23,Torpedo,https://baysidecigars.com/products/my-father-le-bijou-1922-torpedo,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Torpedo,6.5x52,23,325.0,True,
OLIVA|OLIVA|CONNECTICUTRESERVE|PETITCORONA|PETITCORONA|4.5x40|CT|BOX25,Petit Corona,https://baysidecigars.com/products/oliva-connecticut-reserve-petit-corona,Oliva,Connecticut Reserve,Connecticut Shade,Petit Corona,4.5x40,25,210.0,True,
COHIBA|COHIBA|BLACK|GIGANTE|CORONAGORDA|6x60|MAD|BOX20,Cohiba Black Gigante,https://baysidecigars.com/collections/cohiba/products/cohiba-black-gigante,,,,,,,,,
PADRON|PADRON|1926SERIE|NO.90(TUBO)|ROBUSTO|5.5x52|MAD|BOX10,Padron 1926 Serie No. 90 Tubo Maduro,https://baysidecigars.com/collections/1926-series-padron/products/padron-1926-serie-no-90-tubo-maduro,,,,,,,,,
ASHTON|ASHTON|VSG|TORPEDO|TORPEDO|6.5x55|ECU|BOX24,Ashton VSG Torpedo,https://baysidecigars.com/collections/ashton/products/ashton-vsg-torpedo,,,,,,,,,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Arturo Fuente Hemingway Short Story Natural,https://baysidecigars.com/products/arturo-fuente-hemingway-short-story-1?_pos=1&_psq=hemingway&_ss=e&_v=1.0,,,,,,,,,
ARTUROFUENTE|ARTUROFUENTE|AÑEJO|NO.48|NO.48|7x48|MAD|BOX25,Arturo Fuente Añejo No 48,https://baysidecigars.com/products/arturo-fuente-anejo-no-48,,,,,,,499.00,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Arturo Fuente Hemingway Work of Art Natural,https://baysidecigars.com/products/arturo-fuente-hemingway-work-of-art-natural,,,,,,,350.00,True,
ARTUROFUENTE|ARTUROFUENTE|AÑEJORESERVA|SHARKNO.77|SHARKNO.77|5.25x50|NAT|BOX25,Arturo Fuente Añejo Reserva Shark No. 77,https://baysidecigars.com/products/arturo-fuente-anejo-reserva-shark-no-77,,,,,,,549.00,True,
