cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.bighumidor.com/index.cfm?ref=80200&ref2=363,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,183.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.bighumidor.com/index.cfm?ref=80200&ref2=358,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,272.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.bighumidor.com/index.cfm?ref=80200&ref2=357,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,239.95,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2562,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,248.95,False,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://www.bighumidor.com/index.cfm?ref=80200&ref2=4558,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,252.95,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=246
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=247
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=416
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=469
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|NAT|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1093
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|MAD|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1916
