cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.cigarboxpa.com/af-short-story-box.html,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,189.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.cigarboxpa.com/af-hemingway-classic-natural-box.html,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,314.99,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.4|PERFECXIONNO.4|5.1875x43|DOM|BOX42,PerfecXion No. 4,https://www.cigarboxpa.com/arturo-fuente-opus-x-perfexcion-no-4-box.html,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion No. 4,5.1875x43,42,999.99,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://www.cigarboxpa.com/padron-1964-principe-maduro-46-x-45-box.html,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,339.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://www.cigarboxpa.com/af-work-of-art-natural-box.html,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,274.99,False,
PADRÓN|PADRÓN|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NIC|BOX25,Principe,,Padrón,1964 Anniversary,Nicaraguan Habano,Principe,4.5x46,25,,,
PADRÓN|PADRÓN|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NIC|BOX25,Exclusivo,,Padrón,1964 Anniversary,Nicaraguan Habano,Exclusivo,5.5x50,25,,,
PADRÓN|PADRÓN|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NIC|BOX25,Diplomatico,,Padrón,1964 Anniversary,Nicaraguan Habano,Diplomatico,7x50,25,,,
PADRÓN|PADRÓN|1964ANNIVERSARY|IMPERIAL|IMPERIAL|6x54|NIC|BOX25,Imperial,,Padrón,1964 Anniversary,Nicaraguan Habano,Imperial,6x54,25,,,
PADRÓN|PADRÓN|1926SERIES|NO.1|NO.1|6.75x54|NIC|BOX24,No. 1,,Padrón,1926 Series,Nicaraguan Habano,No. 1,6.75x54,24,,,
PADRÓN|PADRÓN|1926SERIES|NO.2|NO.2|5.5x52|NIC|BOX24,No. 2,,Padrón,1926 Series,Nicaraguan Habano,No. 2,5.5x52,24,,,
PADRÓN|PADRÓN|1926SERIES|NO.6|NO.6|5.75x50|NIC|BOX24,No. 6,,Padrón,1926 Series,Nicaraguan Habano,No. 6,5.75x50,24,,,
PADRÓN|PADRÓN|1926SERIES|NO.9|NO.9|5.25x56|NIC|BOX24,No. 9,,Padrón,1926 Series,Nicaraguan Habano,No. 9,5.25x56,24,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6.25x48|DOM|BOX32,PerfecXion X,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,6.25x48,32,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,29,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX29,Super Belicoso,,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,29,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|FUENTEFUENTE|FUENTEFUENTE|5.625x46|DOM|BOX32,Fuente Fuente,,Arturo Fuente,Opus X,Dominican Rosado,Fuente Fuente,5.625x46,32,,,
PADRÓN|PADRÓN|1964ANNIVERSARY|IMPERIAL|IMPERIAL|6x54|NIC|BOX10,Imperial,,Padrón,1964 Anniversary,Nicaraguan Habano,Imperial,6x54,10,,,
PADRÓN|PADRÓN|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NIC|BOX10,Diplomatico,,Padrón,1964 Anniversary,Nicaraguan Habano,Diplomatico,7x50,10,,,
PADRÓN|PADRÓN|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NIC|BOX10,Principe,,Padrón,1964 Anniversary,Nicaraguan Habano,Principe,4.5x46,10,,,
PADRÓN|PADRÓN|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NIC|BOX10,Exclusivo,,Padrón,1964 Anniversary,Nicaraguan Habano,Exclusivo,5.5x50,10,,,
DAVIDOFF|DAVIDOFF|ANIVERSARIO|ROBUSTO|ROBUSTO|5x50|ECU|BOX20,Robusto,,Davidoff,Aniversario,Ecuadorian Connecticut,Robusto,5x50,20,,,
DAVIDOFF|DAVIDOFF|ANIVERSARIO|TORO|TORO|6x50|ECU|BOX20,Toro,,Davidoff,Aniversario,Ecuadorian Connecticut,Toro,6x50,20,,,
DAVIDOFF|DAVIDOFF|WINSTONCHURCHILL|TORO|TORO|6x54|ECU|BOX20,Toro,,Davidoff,Winston Churchill,Ecuadorian Connecticut,Toro,6x54,20,,,
DAVIDOFF|DAVIDOFF|WINSTONCHURCHILL|CHURCHILL|CHURCHILL|7x48|ECU|BOX20,Churchill,,Davidoff,Winston Churchill,Ecuadorian Connecticut,Churchill,7x48,20,,,
DAVIDOFF|DAVIDOFF|WINSTONCHURCHILL|ROBUSTO|ROBUSTO|5x50|ECU|BOX20,Robusto,,Davidoff,Winston Churchill,Ecuadorian Connecticut,Robusto,5x50,20,,,
DAVIDOFF|DAVIDOFF|MILLENNIUM|TORO|TORO|6x50|ECU|BOX20,Toro,,Davidoff,Millennium,Ecuadorian Habano,Toro,6x50,20,,,
DAVIDOFF|DAVIDOFF|MILLENNIUM|ROBUSTO|ROBUSTO|5x50|ECU|BOX20,Robusto,,Davidoff,Millennium,Ecuadorian Habano,Robusto,5x50,20,,,
PADRÓN|PADRÓN|1926SERIES|NO.6|NO.6|5.75x50|NIC|BOX10,No. 6,,Padrón,1926 Series,Nicaraguan Habano,No. 6,5.75x50,10,,,
PADRÓN|PADRÓN|1926SERIES|NO.9|NO.9|5.25x56|NIC|BOX10,No. 9,,Padrón,1926 Series,Nicaraguan Habano,No. 9,5.25x56,10,,,
PADRÓN|PADRÓN|1926SERIES|NO.1|NO.1|6.75x54|NIC|BOX10,No. 1,,Padrón,1926 Series,Nicaraguan Habano,No. 1,6.75x54,10,,,
PADRÓN|PADRÓN|1926SERIES|NO.2|NO.2|5.5x52|NIC|BOX10,No. 2,,Padrón,1926 Series,Nicaraguan Habano,No. 2,5.5x52,10,,,
DIAMONDCROWN|DIAMONDCROWN|JULIUSCAESER|ROBUSTO|ROBUSTO|5x54|ECU|BOX20,Robusto,,Diamond Crown,Julius Caeser,Ecuadorian Habano,Robusto,5x54,20,,,
DIAMONDCROWN|DIAMONDCROWN|JULIUSCAESER|TORO|TORO|6x54|ECU|BOX20,Toro,,Diamond Crown,Julius Caeser,Ecuadorian Habano,Toro,6x54,20,,,
DAVIDOFF|DAVIDOFF|ANIVERSARIO|DOUBLER|DOUBLER|7.625x50|ECU|BOX20,Double R,,Davidoff,Aniversario,Ecuadorian Connecticut,Double R,7.625x50,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6x48|DOM|BOX42,PerfecXion X,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,6x48,42,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|DOUBLELIGERO|CHISEL|CHISEL|6.5x54|MAD|BOX20,Chisel,,La Flor Dominicana,Double Ligero,Maduro,Chisel,6.5x54,20,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|DOUBLELIGERO|CHISEL|CHISEL|6.5x54|ECU|BOX20,Chisel,,La Flor Dominicana,Double Ligero,Ecuadorian Sumatra,Chisel,6.5x54,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX25,Super Belicoso,,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,25,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX10,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,10,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX25,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,25,,,
