cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://cigardepot.us/shop/arturo-fuente-hemingway-short-story-box-of-25/,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,159.86,True,
CAO|CAO|FLATHEAD|V554CAMSHAFT|V554CAMSHAFT|5.5x54|CT|BOX24,V554 Camshaft,https://cigardepot.us/shop/cao-flathead-v554-camshaft-box-of-24-5-5-x-54/,CAO,Flathead,Connecticut Broadleaf,V554 Camshaft,5.5x54,24,189.95,True,
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,V660 Carb,https://cigardepot.us/shop/cao-flathead-v660-carb-6-x-60-box-of-24/,CAO,Flathead,Connecticut Broadleaf,V660 Carb,6x60,24,235.5,True,
CAO|CAO|FLATHEAD|V770BIGBLOCK|V770BIGBLOCK|7x70|CT|BOX24,V770 Big Block,https://cigardepot.us/shop/cao-flathead-v770-big-block-7-x-70/,CAO,Flathead,Connecticut Broadleaf,V770 Big Block,7x70,24,255.95,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,Robusto,https://cigardepot.us/shop/liga-undercrown-maduro-robusto-5-x-54-box-of-25/,Drew Estate,Undercrown Maduro,San Andres,Robusto,5x54,25,180.95,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONADOBLE|CORONADOBLE|7x54|SAN|BOX25,Corona Doble,https://cigardepot.us/shop/liga-undercrown-maduro-corona-doble-7x54/,Drew Estate,Undercrown Maduro,San Andres,Corona Doble,7x54,25,238.95,True,
MACANUDO|MACANUDO|CAFE|HAMPTONCOURT|HAMPTONCOURT|5.25x42|CT|BOX25,Hampton Court,https://cigardepot.us/shop/macanudo-cafe-hampton-court-box-of-25/,Macanudo,Cafe,Connecticut Shade,Hampton Court,5.25x42,25,245.95,True,
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,Robusto,https://cigardepot.us/shop/oliva-serie-g-robusto-4%c2%bd-x-50-box-of-25/,Oliva,Serie G,Cameroon,Robusto,4.5x50,25,153.0,True,
OLIVA|OLIVA|SERIEV|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|ECU|BOX24,Double Robusto,https://cigardepot.us/shop/oliva-serie-v-double-robusto-5-x-54-box-of-24/,Oliva,Serie V,Ecuadorian Habano,Double Robusto,5x54,24,213.95,True,
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,Torpedo,https://cigardepot.us/shop/oliva-serie-v-torpedo-6-x-56-box-of-24/,Oliva,Serie V,Ecuadorian Habano,Torpedo,6.5x52,24,258.95,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6.25x48|DOM|BOX32,PerfecXion X,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,6.25x48,32,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,29,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX29,Super Belicoso,,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,29,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|FUENTEFUENTE|FUENTEFUENTE|5.625x46|DOM|BOX32,Fuente Fuente,,Arturo Fuente,Opus X,Dominican Rosado,Fuente Fuente,5.625x46,32,,,
DIAMONDCROWN|DIAMONDCROWN|JULIUSCAESER|ROBUSTO|ROBUSTO|5x54|ECU|BOX20,Robusto,,Diamond Crown,Julius Caeser,Ecuadorian Habano,Robusto,5x54,20,,,
DIAMONDCROWN|DIAMONDCROWN|JULIUSCAESER|TORO|TORO|6x54|ECU|BOX20,Toro,,Diamond Crown,Julius Caeser,Ecuadorian Habano,Toro,6x54,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6x48|DOM|BOX42,PerfecXion X,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,6x48,42,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|DOUBLELIGERO|CHISEL|CHISEL|6.5x54|MAD|BOX20,Chisel,,La Flor Dominicana,Double Ligero,Maduro,Chisel,6.5x54,20,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|DOUBLELIGERO|CHISEL|CHISEL|6.5x54|ECU|BOX20,Chisel,,La Flor Dominicana,Double Ligero,Ecuadorian Sumatra,Chisel,6.5x54,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX25,Super Belicoso,,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,25,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX10,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,10,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX25,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,25,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX10,Super Belicoso,,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,10,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6x48|DOM|BOX10,PerfecXion X,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,6x48,10,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|ANDALUSIANBULL|TORO|TORO|6.5x58|ECU|BOX20,Toro,,La Flor Dominicana,Andalusian Bull,Ecuadorian Habano,Toro,6.5x58,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PETITLANCERO|PETITLANCERO|6.25x39|DOM|BOX32,Petit Lancero,,Arturo Fuente,Opus X,Dominican Rosado,Petit Lancero,6.25x39,32,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.2|PERFECXIONNO.2|6.375x52|DOM|BOX29,PerfecXion No. 2,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion No. 2,6.375x52,29,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|DOUBLELIGERO|DIGGER|DIGGER|6x60|ECU|BOX20,Digger,,La Flor Dominicana,Double Ligero,Ecuadorian Sumatra,Digger,6x60,20,,,
