cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.cigarking.com/arturo-fuente-hemingway-short-story-4x48-box-25/,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,169.45,True,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://www.cigarking.com/my-father-le-bijou-1922-toro/?searchid=4192410&search_query=my+father,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,254.7,True,
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://www.cigarking.com/my-father-the-judge-grand-robusto-5x60-box-23/?searchid=4192449&search_query=my+father+the+judge,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,274.95,True,
AGINGROOM|AGINGROOM|QUATTRONICARAGUA|MAESTRO|MAESTRO|6x50|NIC|BOX20,Maestro,https://www.cigarking.com/copy-of-aging-room-quattro-nicaragua-maestro-torpedo-6x52-box-20-1tjt/,Aging Room,Quattro Nicaragua,Nicaraguan Habano,Maestro,6x50,20,199.5,True,
PADRON|PADRON|1926SERIE|NO.6|NO.6|4.75x50|MAD|BOX24,No. 6,https://www.cigarking.com/padron-serie-1926-no-6-maduro-4-75x50-box-24/?searchid=4238739&search_query=1926,Padron,1926 Serie,Maduro,No. 6,4.75x50,24,429.6,True,
PADRON|PADRON|1926SERIE|NO.6|NO.6|4.75x50|NAT|BOX24,No. 6,https://www.cigarking.com/padron-serie-1926-no-6-natural-4-75x50-box-24/?searchid=4238739&search_query=1926,Padron,1926 Serie,Natural,No. 6,4.75x50,24,429.6,True,
PADRON|PADRON|1926SERIE|NO.2BELICOSO|NO.2BELICOSO|5.25x52|MAD|BOX24,No. 2 Belicoso,https://www.cigarking.com/padron-serie-1926-no-2-belicoso-maduro-5-5x52-box-24/?searchid=4238739&search_query=1926,Padron,1926 Serie,Maduro,No. 2 Belicoso,5.25x52,24,525.6,True,
PADRON|PADRON|1964ANNIVERSARY|TORPEDO|TORPEDO|6x52|MAD|BOX20,Torpedo,https://www.cigarking.com/copy-of-padron-1964-torpedo-maduro-6x52-box-20-wsno/?searchid=4238745&search_query=1964,Padron,1964 Anniversary,Maduro,Torpedo,6x52,20,412.95,True,
PADRON|PADRON|1964ANNIVERSARY|IMPERIAL|IMPERIAL|6x54|MAD|BOX25,Imperial,https://www.cigarking.com/copy-of-padron-1964-imperial-maduro-6x54-box-25/?searchid=4238745&search_query=1964,Padron,1964 Anniversary,Maduro,Imperial,6x54,25,491.24,True,
PADRON|PADRON|1964ANNIVERSARY|IMPERIAL|IMPERIAL|6x54|NAT|BOX25,Imperial,https://www.cigarking.com/padron-1964-imperial-natural-6x54-box-25/?searchid=4238745&search_query=1964,Padron,1964 Anniversary,Natural,Imperial,6x54,25,491.25,True,
PADRON|PADRON|1964ANNIVERSARY|MONARCA|MONARCA|6.5x46|MAD|BOX25,Monarca,https://www.cigarking.com/padron-1964-monarca-maduro-6-5x46-box-25/?searchid=4238745&search_query=1964,Padron,1964 Anniversary,Maduro,Monarca,6.5x46,25,396.25,False,
PADRON|PADRON|1964ANNIVERSARY|MONARCA|MONARCA|6.5x46|NAT|BOX25,Monarca,https://www.cigarking.com/padron-1964-monarca-natural-6-5x46-box-25/?searchid=4238745&search_query=1964,Padron,1964 Anniversary,Natural,Monarca,6.5x46,25,396.25,True,
