title,url,brand,line,size,box_qty,price,in_stock
"ACID Cigars by Drew Estate Shorty (4.5"""" x 60)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Facid-cigars%2Facid-cigars-by-drew-estate%2FAIA-PM.html,ACID,"""ACID Cigars by Drew Estate Shorty","4.5"" x 60",20,80.0,False
"Tatuaje Havana VI Nobles (5.0"""" x 50)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Ftatuaje%2Ftatuaje-havana-vi%2F3UB-PM.html,Tatuaje,"""Tatuaje Havana VI Nobles","5.0"" x 50",20,80.0,False
"Drew Estate Undercrown Maduro Manifesto (11.0"""" x 38)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-undercrown-maduro%2FLPE-PM.html,Undercrown by Drew Estate,"""Drew Estate Undercrown Maduro Manifesto","11.0"" x 38",20,80.0,False
"Davidoff Nicaragua Mini Cigarillos (3.5"""" x 20)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdavidoff%2Fdavidoff-nicaragua%2FDVP-PM.html,Davidoff,"""Davidoff Nicaragua Mini Cigarillos","3.5"" x 20",20,80.0,False
"Davidoff Nicaragua Robusto (Tubos) (5.0"""" x 50)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdavidoff%2Fdavidoff-nicaragua%2FDVP-PM.html,Davidoff,"""Davidoff Nicaragua","5.0"" x 50",20,81.6,True
"Don Pepin Garcia Blue Exclusivos (9.2"""" x 48)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmy-father%2Fdon-pepin-garcia-blue%2FJXA-PM.html,Don Pepin Garcia,"""Don Pepin Garcia Blue Exclusivos","9.2"" x 48",20,81.99,False
"Montecristo White Label Toro (6.0"""" x 54)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmontecristo%2Fmontecristo-white-label%2FWMA-PM.html,Montecristo,"""Montecristo White Label","6.0"" x 54",20,81.99,True
"Espinosa Habano No. 4 (5.5"""" x 50)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fespinosa%2Fespinosa-habano%2FESP-PM.html,Espinosa,"""Espinosa Habano No. 4","5.5"" x 50",20,81.99,True
"Rocky Patel Decade Cigars Emperor (6.0"""" x 60)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Frocky-patel%2Frocky-patel-decade-cigars%2FILB-PM.html,Rocky Patel,"""Rocky Patel Decade Cigars Emperor","6.0"" x 60",20,81.99,False
"RoMa Craft CroMagnon Aquitaine Slobberknocker LE (7.5"""" x 56)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Froma-craft%2Froma-craft-cromagnon-aquitaine%2FRC2-PM.html,RoMa Craft Tabac,"""RoMa Craft CroMagnon Aquitaine Slobberknocker LE","7.5"" x 56",20,81.99,False
