cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.coronacigar.com/arturo-fuente-hemingway-cameroon-best-seller/,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,198.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.coronacigar.com/arturo-fuente-hemingway-cameroon-short-story/,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,169.95,True,
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,Spellbound,https://www.coronacigar.com/brands/ashton/ashton-vsg-spellbound/,Ashton,VSG,Ecuadorian Sun Grown,Spellbound,6x50,24,428.95,True,
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,Wizard,https://www.coronacigar.com/brands/ashton/ashton-vsg-wizard/,Ashton,VSG,Ecuadorian Sun Grown,Wizard,7x52,37,632.95,True,
ASHTON|ASHTON|VSG|ECLIPSE|ECLIPSE|6.75x50|ECU|BOX24,Eclipse,https://www.coronacigar.com/brands/ashton/ashton-vsg-eclipse/,Ashton,VSG,Ecuadorian Sun Grown,Eclipse,6.75x50,24,431.95,True,
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,Enchantment,https://www.coronacigar.com/brands/ashton/ashton-vsg-enchantment/,Ashton,VSG,Ecuadorian Sun Grown,Enchantment,5.5x48,22,350.95,False,
ASHTON|ASHTON|VSG|SORCERER|SORCERER|7.5x52|ECU|BOX24,Sorcerer,https://www.coronacigar.com/brands/ashton/ashton-vsg-sorcerer/,Ashton,VSG,Ecuadorian Sun Grown,Sorcerer,7.5x52,24,372.95,True,
ASHTON|ASHTON|VSG|ILLUSION|ILLUSION|6x54|ECU|BOX24,Illusion,https://www.coronacigar.com/brands/ashton/ashton-vsg-illusion/,Ashton,VSG,Ecuadorian Sun Grown,Illusion,6x54,24,341.95,True,
AGINGROOM|AGINGROOM|QUATTRONICARAGUA|MAESTRO|MAESTRO|6x50|NIC|BOX20,Maestro,https://www.coronacigar.com/aging-room-quattro-nicaragua-maestro/,Aging Room,Quattro Nicaragua,Nicaraguan Habano,Maestro,6x50,20,199.95,True,
PADRON|PADRON|1926SERIE|NO.6|NO.6|4.75x50|MAD|BOX24,No. 6,https://www.coronacigar.com/padron-1926-serie-maduro-no-2/,Padron,1926 Serie,Maduro,No. 6,4.75x50,24,538.8,True,
PADRON|PADRON|1926SERIE|NO.6|NO.6|4.75x50|NAT|BOX24,No. 6,https://www.coronacigar.com/padron-1926-serie-natural-no-6/,Padron,1926 Serie,Natural,No. 6,4.75x50,24,442.8,True,
PADRON|PADRON|1926SERIE|NO.2BELICOSO|NO.2BELICOSO|5.25x52|MAD|BOX24,No. 2 Belicoso,https://www.coronacigar.com/padron-1926-serie-maduro-no-6/,Padron,1926 Serie,Maduro,No. 2 Belicoso,5.25x52,24,442.8,True,
PADRON|PADRON|1926SERIE|NO.2BELICOSO|NO.2BELICOSO|5.25x52|NAT|BOX24,No. 2 Belicoso,https://www.coronacigar.com/padron-1926-serie-natural-no-2/,Padron,1926 Serie,Natural,No. 2 Belicoso,5.25x52,24,538.8,True,
PADRON|PADRON|1964ANNIVERSARY|TORPEDO|TORPEDO|6x52|MAD|BOX20,Torpedo,https://www.coronacigar.com/padron-anniversary-1964-maduro-torpedo/,Padron,1964 Anniversary,Maduro,Torpedo,6x52,20,423.0,True,
PADRON|PADRON|1964ANNIVERSARY|TORPEDO|TORPEDO|6x52|NAT|BOX20,Torpedo,https://www.coronacigar.com/padron-anniversary-1964-natural-torpedo/,Padron,1964 Anniversary,Natural,Torpedo,6x52,20,423.0,True,
PADRON|PADRON|1964ANNIVERSARY|IMPERIAL|IMPERIAL|6x54|MAD|BOX25,Imperial,https://www.coronacigar.com/padron-anniversary-1964-maduro-imperial/,Padron,1964 Anniversary,Maduro,Imperial,6x54,25,503.75,True,
PADRON|PADRON|1964ANNIVERSARY|IMPERIAL|IMPERIAL|6x54|NAT|BOX25,Imperial,https://www.coronacigar.com/padron-anniversary-1964-natural-imperial/,Padron,1964 Anniversary,Natural,Imperial,6x54,25,503.75,True,
PADRON|PADRON|1964ANNIVERSARY|MONARCA|MONARCA|6.5x46|MAD|BOX25,Monarca,https://www.coronacigar.com/padron-anniversary-1964-maduro-monarca/,Padron,1964 Anniversary,Maduro,Monarca,6.5x46,25,408.75,True,
PADRON|PADRON|1964ANNIVERSARY|MONARCA|MONARCA|6.5x46|NAT|BOX25,Monarca,https://www.coronacigar.com/padron-anniversary-1964-natural-monarca/,Padron,1964 Anniversary,Natural,Monarca,6.5x46,25,408.75,True,
