cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://foxcigar.com/shop/cigars/arturo-fuente/arturo-fuente-hemingway-classic/,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,273.99,True,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://foxcigar.com/shop/cigars/padron/padron-1964-anniversary-series-diplimatico-maduro/,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,442.50,False,
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://foxcigar.com/shop/cigars/my-father/my-father-the-judge-grand-robusto/,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,274.99,True,
COHIBA||REDDOT|ROBUSTO|ROBUSTO|5x49|CAM|BOX25,Robusto,https://foxcigar.com/shop/cigars/cohiba/red-dot/cohiba-robusto/,Cohiba,Red Dot,Cameroon,Robusto,5x49,25,535.99,True,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://foxcigar.com/shop/cigars/ashton/ashton-vsg-robusto/,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,337.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://foxcigar.com/shop/cigars/arturo-fuente/arturo-fuente-best-seller/,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,197.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://foxcigar.com/shop/cigars/arturo-fuente/arturo-fuente-hemingway-signature/,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,250.99,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://foxcigar.com/shop/cigars/perdomo/perdomo-10th-champagne-epicure/,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,233.99,False,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NAT|BOX25,Diplomatico,https://foxcigar.com/shop/cigars/padron/padron-1964-anniversary-series-diplomatico-natural/,Padron,1964 Anniversary,Natural,Diplomatico,7x50,25,442.5,False,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://foxcigar.com/shop/cigars/my-father/my-father-le-bijou-1922-toro/,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,254.99,False,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,Exclusivo,https://foxcigar.com/shop/cigars/padron/padron-1964-anniversary-series-exclusivo-natural/,Padron,1964 Anniversary,Natural,Exclusivo,5.5x50,25,370.0,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://foxcigar.com/shop/cigars/padron/padron-1964-anniversary-series-principe-maduro/,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,330,False,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|NAT|BOX25,Corona,https://foxcigar.com/shop/cigars/padron/padron-1964-anniversary-series-natural-corona/,Padron,1964 Anniversary,Natural,Corona,6x42,25,347.50,False,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|MAD|BOX25,Corona,https://foxcigar.com/shop/cigars/padron/padron-1964-anniversary-series-corona-maduro/,Padron,1964 Anniversary,Maduro,Corona,6x42,25,347.50,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://foxcigar.com/shop/cigars/arturo-fuente/arturo-fuente-short-story/,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,168.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,Short Story,https://foxcigar.com/shop/cigars/vip-invitees-list/arturo-fuente-hemingway-short-story-maduro/,Arturo Fuente,Hemingway,Maduro,Short Story,4x49,25,202.12,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://foxcigar.com/shop/cigars/arturo-fuente/arturo-fuente-hemingway-work-of-art/,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,266.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://foxcigar.com/shop/cigars/vip-invitees-list/arturo-fuente-between-the-lines/,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,478.49,True,
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,Enchantment,https://foxcigar.com/shop/cigars/ashton/ashton-vsg-enchantment/,Ashton,VSG,Ecuadorian Sun Grown,Enchantment,5.5x48,22,346.99,True,
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,Wizard,https://foxcigar.com/shop/cigars/ashton/ashton-vsg-wizard/,Ashton,VSG,Ecuadorian Sun Grown,Wizard,7x52,37,619.99,True,
ASHTON|ASHTON|VSG|BELICOSONO.1|BELICOSONO.1|5.5x52|ECU|BOX24,Belicoso No. 1,https://foxcigar.com/shop/cigars/ashton/ashton-vsg-belicoso-no-1/,Ashton,VSG,Ecuadorian Sun Grown,Belicoso No. 1,5.5x52,24,342.99,True,
ASHTON|ASHTON|VSG|ILLUSION|ILLUSION|6x54|ECU|BOX24,Illusion,https://foxcigar.com/shop/cigars/ashton/ashton-vsg-illusion/,Ashton,VSG,Ecuadorian Sun Grown,Illusion,6x54,24,332.99,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,,https://foxcigar.com/shop/cigars/drew-estate/no-9-robusto/
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|CORONAVIVA|CORONAVIVA|6x46|CON|BOX24,,https://foxcigar.com/shop/cigars/drew-estate/liga-privada-no-9-corona-viva/
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GRANTORO|GRANTORO|6x52|SAN|BOX25,,https://foxcigar.com/shop/cigars/drew-estate/undercrown-maduro-gran-toro/,,,,,,,214.99,,
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,,https://foxcigar.com/shop/cigars/oliva/oliva-serie-v-torpedo/
OLIVA|OLIVA|SERIEV|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|ECU|BOX24,,https://foxcigar.com/shop/cigars/oliva/oliva-serie-v-double-robusto/
OLIVA|OLIVA|SERIEV|CHURCHILLEXTRA|CHURCHILLEXTRA|7x48|ECU|BOX24,,https://foxcigar.com/shop/cigars/oliva/oliva-serie-v-churchill-extra/
OLIVA|OLIVA|SERIEV|DOUBLETORO|DOUBLETORO|6x60|ECU|BOX24,,https://foxcigar.com/shop/cigars/oliva/oliva-serie-v-double-toro/
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,,https://foxcigar.com/shop/cigars/oliva/oliva-serie-g-robusto/
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,,https://foxcigar.com/shop/cigars/oliva/oliva-serie-g-toro/
OLIVA|OLIVA|SERIEG|CHURCHILL|CHURCHILL|7x48|CAM|BOX25,,https://foxcigar.com/shop/cigars/oliva/oliva-serie-g-churchill/
OLIVA|OLIVA|SERIEG|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|CAM|BOX25,,https://foxcigar.com/shop/cigars/oliva/oliva-serie-g-double-robusto/
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,,https://foxcigar.com/shop/cigars/macanudo/macanudo-cafe-hyde-park/,,,,,,,215.99,,
MACANUDO|MACANUDO|CAFE|HAMPTONCOURT|HAMPTONCOURT|5.25x42|CT|BOX25,,https://foxcigar.com/shop/cigars/macanudo/cafe-hampton-court/
MACANUDO|MACANUDO|CAFE|PORTOFINO|PORTOFINO|7x34|CT|BOX25,,https://foxcigar.com/shop/cigars/macanudo/macanudo-cafe-portofino/
MACANUDO|MACANUDO|CAFE|BARONDEROTHSCHILD|BARONDEROTHSCHILD|6.5x42|CT|BOX25,,https://foxcigar.com/shop/cigars/macanudo/macanudo-cafe-baron-de-rothschild/
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|ROBUSTO|ROBUSTO|5x50|HON|BOX20,,https://foxcigar.com/shop/cigars/rocky-patel/vintage-1990-robusto/
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORO|TORO|6x52|HON|BOX20,,https://foxcigar.com/shop/cigars/rocky-patel/vintage-1990-toro/
CAO|CAO|FLATHEAD|V554CAMSHAFT|V554CAMSHAFT|5.5x54|CT|BOX24,,https://foxcigar.com/shop/cigars/cao/cao-flathead-v554-camshaft/
CAO|CAO|FLATHEAD|V770BIGBLOCK|V770BIGBLOCK|7x70|CT|BOX24,,https://foxcigar.com/shop/cigars/cao/cao-flathead-v770-big-block/,,,,,,,258.99,,
CAO|CAO|FLATHEAD|V450SPARKPLUG|V450SPARKPLUG|4.5x50|CT|BOX24,,https://foxcigar.com/shop/cigars/cao/cao-flathead-v450-sparkplug/
MONTECRISTO|MONTECRISTO|1935ANNIVERSARYNICARAGUA|DEMI|DEMI|5x50|NIC|BOX20,,https://foxcigar.com/shop/cigars/montecristo/montecristo-1935-anniversary-nicaragua-demi/
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|TORO|TORO|6x52|ECU|BOX20,,https://foxcigar.com/shop/cigars/rocky-patel/rocky-patel-vintage-1992-toro/
