cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://www.hilandscigars.com/shop/cigars/padron/padron-1964-anniversary-series/padron-1964-anniversary-diplomatico-maduro/,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,439.98,True,
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.hilandscigars.com/shop/cigars/romeo-y-julieta/romeo-y-julieta-1875/romeo-y-julieta-1875-churchill/,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,201.0,True,
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://www.hilandscigars.com/shop/cigars/my-father/my-father-the-judge/father-judge-grand-robusto/,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,209.98,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.hilandscigars.com/shop/cigars/arturo-fuente/a-fuente-hemingway/arturo-fuente-hemingway-series-best-seller-natural/,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,186.4,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.hilandscigars.com/shop/cigars/arturo-fuente/a-fuente-hemingway/arturo-fuente-hemingway-series-signature/,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,219.4,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.hilandscigars.com/shop/cigars/arturo-fuente/a-fuente-hemingway/arturo-fuente-hemingway-series-classic/,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,293.98,True,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://www.hilandscigars.com/shop/cigars/ashton/ashton-vsg-virgin-sun-grown/ashton-vsg-robusto-5-5x50-box-of-24-free-shipping/,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,421.98,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.hilandscigars.com/shop/cigars/perdomo/perdomo-10th-anniversary-champagne/perdomo-reserve-10th-anniversary-champagne-epicure/,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,184.98,True,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NAT|BOX25,Diplomatico,https://www.hilandscigars.com/shop/cigars/padron/padron-1964-anniversary-series/padron-1964-anniversary-diplomatico-natural/,Padron,1964 Anniversary,Natural,Diplomatico,7x50,25,439.98,True,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://www.hilandscigars.com/shop/cigars/my-father/my-father-le-bijou-1922/my-father-le-bijou-1922-grand-robusto-2/,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,210.98,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|MAD|BOX25,Best Seller,https://www.hilandscigars.com/shop/cigars/arturo-fuente/a-fuente-hemingway/arturo-fuente-hemingway-series-maduro-best-seller/,Arturo Fuente,Hemingway,Maduro,Best Seller,4.5x55,25,270.98,True,
FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,Maduro Toro,https://www.hilandscigars.com/shop/cigars/foundation-cigars/olmec-maduro-toro-6x52-box-of-12/,Foundation,Olmec,Maduro,Toro,6x52,12,188.0,False,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,Exclusivo,https://www.hilandscigars.com/shop/cigars/padron/padron-1964-anniversary-series/padron-1964-anniversary-exclusivo-natural/,Padron,1964 Anniversary,Natural,Exclusivo,5.5x50,25,389.98,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://www.hilandscigars.com/shop/cigars/padron/padron-1964-anniversary-series/padron-1964-anniversary-exclusivo-maduro/,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,389.98,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,Principe,https://www.hilandscigars.com/shop/cigars/padron/padron-1964-anniversary-series/padron-1964-anniversary-principe-natural/,Padron,1964 Anniversary,Natural,Principe,4.5x46,25,329.98,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://www.hilandscigars.com/shop/cigars/padron/padron-1964-anniversary-series/padron-1964-anniversary-principe-maduro/,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,329.98,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.hilandscigars.com/shop/cigars/arturo-fuente/a-fuente-hemingway/arturo-fuente-hemingway-series-short-story/,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,160.98,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,Short Story,https://www.hilandscigars.com/shop/cigars/arturo-fuente/a-fuente-hemingway/arturo-fuente-hemingway-series-maduro-short-story/,Arturo Fuente,Hemingway,Maduro,Short Story,4x49,25,159.98,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://www.hilandscigars.com/shop/cigars/arturo-fuente/a-fuente-hemingway/arturo-fuente-hemmingway-work-of-art/,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,205.98,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://www.hilandscigars.com/shop/cigars/arturo-fuente/a-fuente-hemingway/arturo-fuente-hemmingway-work-of-art-2/,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,215.98,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://www.hilandscigars.com/shop/cigars/arturo-fuente/a-fuente-hemingway/arturo-fuente-hemingway-between-the-lines-cigars/,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,585.98,False,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|CORONAVIVA|CORONAVIVA|6x46|CON|BOX24,,https://www.hilandscigars.com/shop/cigars/drew-estate/liga-privada-no-9/liga-privada-no-9-corona-viva-6x46-box-of-24-free-shipping-customer-appreciation/
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|4.5x52|ECU|BOX24,,https://www.hilandscigars.com/shop/cigars/ashton/ashton-vsg-virgin-sun-grown/ashton-vsg-enchantment/
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,,https://www.hilandscigars.com/shop/cigars/ashton/ashton-vsg-virgin-sun-grown/ashton-vsg-spellbound/
ASHTON|ASHTON|VSG|ECLIPSE|ECLIPSE|6.75x50|ECU|BOX24,,https://www.hilandscigars.com/shop/cigars/ashton/ashton-vsg-virgin-sun-grown/ashton-vsg-eclipse/
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX24,,https://www.hilandscigars.com/shop/cigars/ashton/ashton-vsg-virgin-sun-grown/ashton-vsg-wizard/
OLIVA|OLIVA|SERIEV|BELICOSO|BELICOSO|5x54|ECU|BOX24,,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-belicoso/
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v/oliva-serie-v-torpedo-24/
OLIVA|OLIVA|SERIEV|DOUBLETORO|DOUBLETORO|6x60|ECU|BOX24,,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-double-toro/
CAO|CAO|FLATHEAD|V554CAMSHAFT|V554CAMSHAFT|5.5x54|CON|BOX24,,https://www.hilandscigars.com/shop/cigars/cao/cao-flathead/c-a-o-flatthead-v554-2/
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CON|BOX24,,https://www.hilandscigars.com/shop/cigars/cao/cao-flathead/c-a-o-flathead-v660-carb/
CAO|CAO|FLATHEAD|V770BIGBLOCK|V770BIGBLOCK|7x70|CON|BOX24,,https://www.hilandscigars.com/shop/cigars/cao/cao-flathead/c-a-o-flathead-v770-big-block/
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CON|BOX25,,https://www.hilandscigars.com/shop/cigars/macanudo/macanudo-cafe/macanudo-cafe-hyde-park/
MACANUDO|MACANUDO|CAFE|HAMPTONCT|HAMPTONCT|5.5x42|CON|BOX25,,https://www.hilandscigars.com/shop/cigars/macanudo/macanudo-cafe/macanudo-cafe-hampton-court/
MACANUDO|MACANUDO|CAFE|DUKEOFDEVON|DUKEOFDEVON|5.5x42|CON|BOX25,,https://www.hilandscigars.com/shop/cigars/macanudo/macanudo-cafe/macanudo-cafe-duke-of-devon/
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x50|CON|BOX25,,https://www.hilandscigars.com/shop/cigars/drew-estate/undercrown-maduro/undercrown-maduro-robusto-5-54-box-of-25/
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GRANTORO|GRANTORO|6x60|CON|BOX25,,https://www.hilandscigars.com/shop/cigars/drew-estate/undercrown-maduro/undercrown-maduro-gran-toro-6-x52-box-of-25/
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONADOBLE|CORONADOBLE|7.25x54|CON|BOX25,,https://www.hilandscigars.com/shop/cigars/drew-estate/undercrown-maduro/undercrown-maduro-corona-doble-7x54-box-of-25/
COHIBA||REDDOT|CHURCHILL|CHURCHILL|7x49|CAM|BOX25,,https://www.hilandscigars.com/shop/cigars/cohiba/cohiba-red-dot/cohiba-churchill/
COHIBA||REDDOT|ROBUSTO|ROBUSTO|5x49|CAM|BOX25,,https://www.hilandscigars.com/shop/cigars/cohiba/cohiba-red-dot/cohiba-robusto/
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|5x50|CAM|BOX25,,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-g-robusto/
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-g-toro/
OLIVA|OLIVA|SERIEG|CHURCHILL|CHURCHILL|7x50|CAM|BOX25,,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-g-churchill/
