cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.holts.com/cigars/all-cigar-brands/arturo-fuente-hemingway.html,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,282.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.holts.com/cigars/all-cigar-brands/arturo-fuente-hemingway.html,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,204.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.holts.com/cigars/all-cigar-brands/arturo-fuente-hemingway.html,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,258.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|MAD|BOX25,Best Seller,https://www.holts.com/cigars/all-cigar-brands/arturo-fuente-hemingway-maduro.html,Arturo Fuente,Hemingway,Maduro,Best Seller,4.5x55,25,243.75,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.holts.com/cigars/all-cigar-brands/perdomo-10th-anniversary-champagne.html,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,248.95,True,
HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,Epicure,https://www.holts.com/cigars/all-cigar-brands/excalibur.html,Hoyo de Monterrey,Excalibur,Connecticut Shade,Epicure,5.25x50,20,160.04,True,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://www.holts.com/cigars/all-cigar-brands/padron-1964-anniversary.html,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,455.0,True,
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.holts.com/cigars/all-cigar-brands/romeo-y-julieta-1875.html,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,201.0,True,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://www.holts.com/cigars/all-cigar-brands/ashton-vsg.html,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,344.95,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,Principe,https://www.holts.com/cigars/all-cigar-brands/padron-1964-anniversary.html,Padron,1964 Anniversary,Natural,Principe,4.5x46,25,340.0,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://www.holts.com/cigars/all-cigar-brands/padron-1964-anniversary.html,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,340.0,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,Exclusivo,https://www.holts.com/cigars/all-cigar-brands/padron-1964-anniversary.html,Padron,1964 Anniversary,Natural,Exclusivo,5.5x50,25,397.5,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://www.holts.com/cigars/all-cigar-brands/padron-1964-anniversary.html,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,397.5,True,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|NAT|BOX25,Corona,https://www.holts.com/cigars/all-cigar-brands/padron-1964-anniversary.html,Padron,1964 Anniversary,Natural,Corona,6x42,25,360.0,False,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|MAD|BOX25,Corona,https://www.holts.com/cigars/all-cigar-brands/padron-1964-anniversary.html,Padron,1964 Anniversary,Maduro,Corona,6x42,25,360.0,False,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|NAT|BOX24,No. 9,https://www.holts.com/cigars/all-cigar-brands/padron-1926-series.html,Padron,1926 Serie,Natural,No. 9,5.25x56,24,574.8,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|MAD|BOX24,No. 9,https://www.holts.com/cigars/all-cigar-brands/padron-1926-series.html,Padron,1926 Serie,Maduro,No. 9,5.25x56,24,574.8,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.holts.com/cigars/all-cigar-brands/arturo-fuente-hemingway.html,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,174.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,Short Story,https://www.holts.com/cigars/all-cigar-brands/arturo-fuente-hemingway-maduro.html,Arturo Fuente,Hemingway,Maduro,Short Story,4x49,25,212.5,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://www.holts.com/cigars/all-cigar-brands/arturo-fuente-hemingway.html,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,275.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://www.holts.com/cigars/all-cigar-brands/arturo-fuente-hemingway-maduro.html,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,306.75,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,Robusto,https://www.holts.com/cigars/all-cigar-brands/liga-privada-9-by-drew-estate.html,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Robusto,5x54,24,393.6,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|CORONAVIVA|CORONAVIVA|6x46|CON|BOX24,Corona Viva,https://www.holts.com/cigars/all-cigar-brands/liga-privada-9-by-drew-estate.html,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Corona Viva,6x46,24,439.2,True,
ASHTON|ASHTON|VSG|ILLUSION|ILLUSION|6x54|ECU|BOX24,Illusion,https://www.holts.com/cigars/all-cigar-brands/ashton-vsg.html,Ashton,VSG,Ecuadorian Sun Grown,Illusion,6x54,24,341.95,True,
ASHTON|ASHTON|VSG|ECLIPSE|ECLIPSE|6.75x50|ECU|BOX24,Eclipse,https://www.holts.com/cigars/all-cigar-brands/ashton-vsg.html,Ashton,VSG,Ecuadorian Sun Grown,Eclipse,6.75x50,24,431.95,True,
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,Spellbound,https://www.holts.com/cigars/all-cigar-brands/ashton-vsg.html,Ashton,VSG,Ecuadorian Sun Grown,Spellbound,6x50,24,427.95,True,
ASHTON|ASHTON|VSG|SORCERER|SORCERER|7.5x52|ECU|BOX24,Sorcerer,https://www.holts.com/cigars/all-cigar-brands/ashton-vsg.html,Ashton,VSG,Ecuadorian Sun Grown,Sorcerer,7.5x52,24,371.95,True,
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,Wizard,https://www.holts.com/cigars/all-cigar-brands/ashton-vsg.html,Ashton,VSG,Ecuadorian Sun Grown,Wizard,7x52,37,631.95,True,
ASHTON|ASHTON|VSG|BELICOSONO.1|BELICOSONO.1|5.5x52|ECU|BOX24,Belicoso No. 1,https://www.holts.com/cigars/all-cigar-brands/ashton-vsg.html,Ashton,VSG,Ecuadorian Sun Grown,Belicoso No. 1,5.5x52,24,350.95,True,
OLIVA|OLIVA|SERIEV|ROBUSTO|ROBUSTO|5x54|ECU|BOX24,Robusto,https://www.holts.com/cigars/all-cigar-brands/oliva-serie-v.html,Oliva,Serie V,Ecuadorian Habano,Robusto,5x54,24,247.95,True,
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,Torpedo,https://www.holts.com/cigars/all-cigar-brands/oliva-serie-v.html,Oliva,Serie V,Ecuadorian Habano,Torpedo,6.5x52,24,233.99,True,
