cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://iheartcigars.com/products/hemingway-classic-natural?_pos=4&_sid=5f6935bdf&_ss=r,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,260.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://iheartcigars.com/products/hemingway-short-story?_pos=3&_sid=5f6935bdf&_ss=r,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,175.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://iheartcigars.com/products/hemingway-between-the-lines?_pos=1&_sid=5f6935bdf&_ss=r,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,520.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://iheartcigars.com/products/hemingway-best-seller?_pos=2&_sid=5f6935bdf&_ss=r,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,210.0,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|BELICOSOXXX|BELICOSOXXX|4.625x49|DOM|BOX42,Belicoso XXX,https://iheartcigars.com/products/opusx-belicosos-xxx?_pos=4&_sid=b180f5be7&_ss=r,Arturo Fuente,Opus X,Dominican Rosado,Belicoso XXX,4.625x49,42,1250.0,True,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://iheartcigars.com/products/vsg-robusto?_pos=1&_sid=4e7bfaa68&_ss=r,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,325.0,True,
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,Enchantment,https://iheartcigars.com/products/vsg-enchantment?_pos=2&_sid=4e7bfaa68&_ss=r,Ashton,VSG,Ecuadorian Sun Grown,Enchantment,5.5x48,22,380.0,True,
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,Wizard,https://iheartcigars.com/products/vsg-wizard?_pos=3&_sid=4e7bfaa68&_ss=r,Ashton,VSG,Ecuadorian Sun Grown,Wizard,7x52,37,688.0,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,Robusto,https://iheartcigars.com/products/no-9-robusto?_pos=2&_sid=a3f5908e1&_ss=r,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Robusto,5x54,24,237.6,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://iheartcigars.com/products/10th-anniversary-champagne-epicure?_pos=4&_sid=2e97b3f07&_ss=r,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,275.0,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSXANGEL'SSHARE|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,,https://iheartcigars.com/products/fuente-fuente-opusx-angels-share-robusto-box-29,Arturo Fuente,Opus X Angel's Share,Dominican Rosado,Robusto,5.25x50,29,,,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|CORONA|CORONA|5.5x42|ECU|BOX25,,https://iheartcigars.com/products/corona-natural-box-25,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Corona,5.5x42,25,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSXFORBIDDENX|AMORSENSUAL|AMORSENSUAL|6.125x54|DOM|BOX20,,https://iheartcigars.com/products/opusx-forbidden-x-amor-sensual,Arturo Fuente,Opus X Forbidden X,Dominican Rosado,Amor Sensual,,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSXFORBIDDENX|DESEOSD'AMOR|DESEOSD'AMOR|5.25x50|DOM|BOX20,,https://iheartcigars.com/products/opusx-forbidden-x-deseos-damor,Arturo Fuente,Opus X Forbidden X,Dominican Rosado,Deseos D'Amor,,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSXFORBIDDENX|ELBESOPROHIBIDO|ELBESOPROHIBIDO|5.75x52|DOM|BOX20,,https://iheartcigars.com/products/opusx-forbidden-x-el-beso-prohibido,Arturo Fuente,Opus X Forbidden X,Dominican Rosado,El Beso Prohibido,,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSXFORBIDDENX|PASIOND'AMOR|PASIOND'AMOR|6.125x48|DOM|BOX20,,https://iheartcigars.com/products/opusx-forbidden-x-pasion-damor,Arturo Fuente,Opus X Forbidden X,Dominican Rosado,Pasion D'Amor,,20,,,
MYFATHER|MYFATHER|BLUE|ROBUSTO|ROBUSTO|5.25x54|CON|BOX20,,https://iheartcigars.com/products/my-father-blue-robusto-box-of-20,My Father,Blue,Connecticut Broadleaf Rosado,Robusto,,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|DOUBLEROBUSTO|DOUBLEROBUSTO|5.75x52|DOM|BOX42,,https://iheartcigars.com/products/opusx-double-robusto,Arturo Fuente,Opus X,Dominican Rosado,Double Robusto,,42,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONA|PERFECXIONA|9.125x47|DOM|BOX36,,https://iheartcigars.com/products/opusx-perfecxion-77-shark,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion A,,36,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONA|PERFECXIONA|9.125x47|DOM|BOX42,,https://iheartcigars.com/products/opusx-perfecxion-no-4,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion A,,42,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSXANGEL'SSHARE|ROBUSTO|ROBUSTO|5.25x52|DOM|BOX29,,https://iheartcigars.com/products/fuente-fuente-opusx-angels-share-robusto-box-29,Arturo Fuente,Opus X Angel's Share,Dominican Rosado,Robusto,,29,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSXANGEL'SSHARE|RESERVAD'CHATEAU|RESERVAD'CHATEAU|7x48|DOM|BOX32,,https://iheartcigars.com/products/fuente-fuente-opusx-angels-share-reserva-dchateau,Arturo Fuente,Opus X Angel's Share,Dominican Rosado,Reserva d'Chateau,,32,,,
MYFATHER|MYFATHER|BLUE|PETITROBUSTO|PETITROBUSTO|4.5x50|CON|BOX20,,https://iheartcigars.com/products/my-father-blue-petit-robusto-box-of-20,My Father,Blue,Connecticut Broadleaf Rosado,Petit Robusto,,20,,,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|SUN|BOX25,,https://iheartcigars.com/products/hemingway-classic-natural,Arturo Fuente,Hemingway,Sun Grown,Classic,,25,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|DOUBLECORONA|DOUBLECORONA|7.625x49|DOM|BOX32,,https://iheartcigars.com/products/opusx-double-corona,Arturo Fuente,Opus X,Dominican Rosado,Double Corona,,32,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXION77SHARK|PERFECXION77SHARK|5.5x52|DOM|BOX36,,https://iheartcigars.com/products/opusx-perfecxion-77-shark,Arturo Fuente,Opus X,Dominican Rosado,Perfecxion 77 Shark,,36,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PETITLANCERO|PETITLANCERO|6.25x39|DOM|BOX32,,https://iheartcigars.com/products/opusx-petit-lancero,Arturo Fuente,Opus X,Dominican Rosado,Petit Lancero,,32,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX3,,https://iheartcigars.com/products/opusx-robusto-tin,Arturo Fuente,Opus X,Dominican Rosado,Robusto,,3,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX29,,https://iheartcigars.com/products/fuente-fuente-opusx-super-belicoso,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,,29,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSXANGEL'SSHARE|RESERVAD'CHATEAU|RESERVAD'CHATEAU|7.5x48|DOM|BOX32,,https://iheartcigars.com/products/fuente-fuente-opusx-angels-share-reserva-dchateau,Arturo Fuente,Opus X Angel's Share,Dominican Rosado,Reserva d'Chateau,,32,,,
