cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-classic,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,273.94,True,$205.45 [25% off]|CYBER2025
HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,Epicure,https://www.neptunecigar.com/cigars/excalibur-epicure,Hoyo de Monterrey,Excalibur,Connecticut Shade,Epicure,5.25x50,20,166.95,True,$125.21 [25% off]|CYBER2025
DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,Lonsdale Deluxe,https://www.neptunecigar.com/cigars/norteno-lonsdale,Drew Estate,Herrera Esteli Norteno,Mexican San Andres,Lonsdale Deluxe,6.25x44,25,224.95,True,$168.71 [25% off]|CYBER2025
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://www.neptunecigar.com/cigars/padron-1964-anniversary-diplomatico-maduro,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,455.0,True,$341.25 [25% off]|CYBER2025
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.neptunecigar.com/cigars/romeo-y-julieta-1875-churchill,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,201.0,True,$150.75 [25% off]|CYBER2025
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://www.neptunecigar.com/cigars/my-father-the-judge-grand-robusto,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,274.95,False,$206.21 [25% off]|CYBER2025
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.neptunecigar.com/cigars/perdomo-reserve-champagne-epicure,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,249.7,True,$187.27 [25% off]|CYBER2025
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NAT|BOX25,Diplomatico,https://www.neptunecigar.com/cigars/padron-1964-anniversary-diplomatico,Padron,1964 Anniversary,Natural,Diplomatico,7x50,25,455.0,True,$341.25 [25% off]|CYBER2025
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://www.neptunecigar.com/cigars/my-father-le-bijou-1922-toro,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,253.95,True,$190.46 [25% off]|CYBER2025
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|MAD|BOX25,Best Seller,https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-best-seller-maduro,Arturo Fuente,Hemingway,Maduro,Best Seller,4.5x55,25,270.52,False,$202.89 [25% off]|CYBER2025
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://www.neptunecigar.com/cigars/ashton-vsg-robusto,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,337.95,False,$253.46 [25% off]|CYBER2025
FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,Maduro Toro,https://www.neptunecigar.com/cigars/foundation-olmec-maduro-toro,Foundation,Olmec,Maduro,Toro,6x52,12,174.95,True,$131.21 [25% off]|CYBER2025
