cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-classic,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,273.94,False,$224.63 [18% off]|SANTA25
HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,Epicure,https://www.neptunecigar.com/cigars/excalibur-epicure,Hoyo de Monterrey,Excalibur,Connecticut Shade,Epicure,5.25x50,20,166.95,True,$136.90 [18% off]|SANTA25
DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,Lonsdale Deluxe,https://www.neptunecigar.com/cigars/norteno-lonsdale,Drew Estate,Herrera Esteli Norteno,Mexican San Andres,Lonsdale Deluxe,6.25x44,25,224.95,False,$184.46 [18% off]|SANTA25
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://www.neptunecigar.com/cigars/padron-1964-anniversary-diplomatico-maduro,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,455.0,True,$373.10 [18% off]|SANTA25
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.neptunecigar.com/cigars/romeo-y-julieta-1875-churchill,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,201.0,True,$164.82 [18% off]|SANTA25
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://www.neptunecigar.com/cigars/my-father-the-judge-grand-robusto,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,274.95,True,$225.46 [18% off]|SANTA25
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.neptunecigar.com/cigars/perdomo-reserve-champagne-epicure,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,249.7,True,$204.75 [18% off]|SANTA25
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NAT|BOX25,Diplomatico,https://www.neptunecigar.com/cigars/padron-1964-anniversary-diplomatico,Padron,1964 Anniversary,Natural,Diplomatico,7x50,25,455.0,True,$373.10 [18% off]|SANTA25
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://www.neptunecigar.com/cigars/my-father-le-bijou-1922-toro,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,253.95,True,$208.24 [18% off]|SANTA25
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|MAD|BOX25,Best Seller,https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-best-seller-maduro,Arturo Fuente,Hemingway,Maduro,Best Seller,4.5x55,25,270.52,True,$221.83 [18% off]|SANTA25
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://www.neptunecigar.com/cigars/ashton-vsg-robusto,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,345.95,False,$283.68 [18% off]|SANTA25
FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,Maduro Toro,https://www.neptunecigar.com/cigars/foundation-olmec-maduro-toro,Foundation,Olmec,Maduro,Toro,6x52,12,174.95,True,$143.46 [18% off]|SANTA25
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,Principe,https://www.neptunecigar.com/cigars/padron-1964-anniversary-principe,Padron,1964 Anniversary,Natural,Principe,4.5x46,25,340.0,True,$278.80 [18% off]|SANTA25
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://www.neptunecigar.com/cigars/padron-1964-anniversary-principe-maduro,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,340.0,True,$278.80 [18% off]|SANTA25
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,Exclusivo,https://www.neptunecigar.com/cigars/padron-1964-anniversary-exclusivo,Padron,1964 Anniversary,Natural,Exclusivo,5.5x50,25,397.5,True,$325.95 [18% off]|SANTA25
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://www.neptunecigar.com/cigars/padron-1964-anniversary-exclusivo-maduro,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,397.5,True,$325.95 [18% off]|SANTA25
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|NAT|BOX24,No. 9,https://www.neptunecigar.com/cigars/padron-1926-serie-no-9,Padron,1926 Serie,Natural,No. 9,5.25x56,24,574.8,True,$471.34 [18% off]|SANTA25
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|MAD|BOX24,No. 9,https://www.neptunecigar.com/cigars/padron-1926-serie-no-9-maduro,Padron,1926 Serie,Maduro,No. 9,5.25x56,24,574.8,True,$471.34 [18% off]|SANTA25
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-short-story,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,169.45,False,$138.95 [18% off]|SANTA25
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,Short Story,https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-short-story-maduro,Arturo Fuente,Hemingway,Maduro,Short Story,4x49,25,231.2,True,$189.58 [18% off]|SANTA25
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-work-of-art-natural,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,266.76,True,$218.74 [18% off]|SANTA25
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-work-of-art-maduro,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,266.76,False,$218.74 [18% off]|SANTA25
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://www.neptunecigar.com/cigars/arturo-fuente-hemingway-between-the-lines,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,568.0,True,$465.76 [18% off]|SANTA25
