cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|MASTERPIECE|MASTERPIECE|9x52|CAM|BOX10,Masterpiece,https://santamonicacigars.com/products/arturo-fuente-hemingway-masterpiece,Arturo Fuente,Hemingway,Cameroon,Masterpiece,9x52,10,240.0,True,
ASHTON|ASHTON|CLASSIC|CHURCHILL|CHURCHILL|7.5x52|CT|BOX25,Churchill,https://santamonicacigars.com/products/ashton-classic-churchill,Ashton,Classic,Connecticut Shade,Churchill,7.5x52,25,500.0,True,
ASHTON|ASHTON|CLASSIC|CORONA|CORONA|5.5x44|CT|BOX25,Corona,https://santamonicacigars.com/products/ashton-classic-corona,Ashton,Classic,Connecticut Shade,Corona,5.5x44,25,400.0,True,
ARTUROFUENTE|ARTUROFUENTE|DONCARLOS|BELICOSO|BELICOSO|5.375x52|CAM|BOX25,Belicoso,https://santamonicacigars.com/products/arturo-fuente-don-carlos-belicoso,Arturo Fuente,Don Carlos,Cameroon,Belicoso,5.375x52,25,625.0,True,
ARTUROFUENTE|ARTUROFUENTE|DONCARLOS|ROBUSTO|ROBUSTO|5x50|CAM|BOX25,Robusto,https://santamonicacigars.com/products/arturo-fuente-don-carlos-robusto,Arturo Fuente,Don Carlos,Cameroon,Robusto,5x50,25,575.0,True,
MYFATHER|MYFATHER|JAIMEGARCIARESERVAESPECIAL|PETITROBUSTO|PETITROBUSTO|4.5x50|NIC|BOX20,Petit Robusto,https://santamonicacigars.com/products/jaime-garcia-reserva-especial-petit-robusto,My Father,Jaime Garcia Reserva Especial,Nicaraguan Habano,Petit Robusto,4.5x50,20,200.0,True,
MONTECRISTO|MONTECRISTO|CLASSIC|ROBUSTO|ROBUSTO|5x50|CT|BOX20,Robusto,https://santamonicacigars.com/products/montecirsto-classic-toro,Montecristo,Classic,Connecticut Shade,Robusto,5x50,20,460.0,True,
ASHTON|ASHTON|CLASSIC|PRIMEMINISTER|PRIMEMINISTER|6.75x48|CT|BOX25,Prime Minister,https://santamonicacigars.com/products/ashton-classic-prime-minister-churchill,Ashton,Classic,Connecticut Shade,Prime Minister,6.75x48,25,500.0,True,
MYFATHER|MYFATHER|LEBIJOU1922|CHURCHILL|CHURCHILL|7x52|NIC|BOX23,Churchill,https://santamonicacigars.com/products/le-bijou-churchill,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Churchill,7x52,23,437.0,True,
MYFATHER|MYFATHER|LEBIJOU1922|TORPEDO|TORPEDO|6.5x52|NIC|BOX23,Torpedo,https://santamonicacigars.com/products/le-bijou-torpedo,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Torpedo,6.5x52,23,368.0,True,
OLIVA|OLIVA|CONNECTICUTRESERVE|CHURCHILL|CHURCHILL|7x48|CT|BOX20,Churchill,https://santamonicacigars.com/products/oliva-connecticut-reserve-churchill,Oliva,Connecticut Reserve,Connecticut Shade,Churchill,7x48,20,325.0,True,
OLIVA|OLIVA|CONNECTICUTRESERVE|LONSDALE|LONSDALE|6.5x43|CT|BOX20,Lonsdale,https://santamonicacigars.com/products/oliva-connecticut-reserve-lonsdale,Oliva,Connecticut Reserve,Connecticut Shade,Lonsdale,6.5x43,20,235.58,True,
OLIVA|OLIVA|CONNECTICUTRESERVE|PETITCORONA|PETITCORONA|4.5x40|CT|BOX30,Petit Corona,https://santamonicacigars.com/products/oliva-connecticut-reserve-petit-corona,Oliva,Connecticut Reserve,Connecticut Shade,Petit Corona,4.5x40,30,330.0,True,
OLIVA|OLIVA|CONNECTICUTRESERVE|ROBUSTO|ROBUSTO|5x50|CT|BOX20,Robusto,https://santamonicacigars.com/products/oliva-connecticut-reserve-robusto,Oliva,Connecticut Reserve,Connecticut Shade,Robusto,5x50,20,260.0,True,
MYFATHER|MYFATHER|LEBIJOU1922|PETITROBUSTO|PETITROBUSTO|4.5x52|NIC|BOX23,Petit Robusto,https://santamonicacigars.com/products/le-bijou-petit-robusto,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Petit Robusto,4.5x52,23,253.0,True,
MYFATHER|MYFATHER|CONNECTICUT|ROBUSTO|ROBUSTO|5x50|ECU|BOX23,Robusto,https://santamonicacigars.com/products/my-father-connecticut-robusto,My Father,Connecticut,Ecuadorian Connecticut Shade,Robusto,5x50,23,253.0,True,
PUNCH|PUNCH|KNUCKLEBUSTER|GORDO|GORDO|6x60|NIC|BOX20,Gordo,,Punch,Knuckle Buster,Habano,Gordo,6x60,20,,False,
PUNCH|PUNCH|KNUCKLEBUSTER|GORDO|GORDO|6x60|ECU|BOX20,Gordo,,Punch,Knuckle Buster,Ecuadorian Connecticut Shade,Gordo,6x60,20,,False,
PUNCH|PUNCH|KNUCKLEBUSTER|GORDO|GORDO|6x60|MAD|BOX20,Gordo,,Punch,Knuckle Buster,Connecticut Broadleaf,Gordo,6x60,20,,False,
