cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,Lonsdale Deluxe,https://www.smallbatchcigar.com/herrera-esteli-norteno-lonsdale-2,Drew Estate,Herrera Esteli Norteno,Mexican San Andres,Lonsdale Deluxe,6.25x44,25,284.0,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.smallbatchcigar.com/perdomo-reserve-10th-anniversary-champagne-epicure,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,294.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.smallbatchcigar.com/hemingway-classic,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,297.0,True,
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.smallbatchcigar.com/romeo-y-julieta-1875-churchill,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,321.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.smallbatchcigar.com/hemingway-best-seller,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,243.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.smallbatchcigar.com/arturo-fuente-hemingway-signature,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,310.0,True,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://www.smallbatchcigar.com/padron-1964-diplomatico-maduro,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,491.0,True,
FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,Maduro Toro,https://www.smallbatchcigar.com/olmec-maduro-toro-by-foundation-cigars,Foundation,Olmec,Maduro,Toro,6x52,12,194.0,True,
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://www.smallbatchcigar.com/the-judge-grand-robusto,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,306.0,False,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://www.smallbatchcigar.com/le-bijou-1922-toro,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,283.0,True,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NAT|BOX25,Diplomatico,https://www.smallbatchcigar.com/padron-1964-diplomatico-natural,Padron,1964 Anniversary,Natural,Diplomatico,7x50,25,491.0,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,Principe,https://www.smallbatchcigar.com/padron-1964-principe-natural,Padron,1964 Anniversary,Natural,Principe,4.5x46,25,367.0,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://www.smallbatchcigar.com/padron-1964-principe-maduro,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,367.0,True,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|NAT|BOX25,Corona,https://www.smallbatchcigar.com/padron-1964-corona-natural,Padron,1964 Anniversary,Natural,Corona,6x42,25,388.0,True,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|MAD|BOX25,Corona,https://www.smallbatchcigar.com/padron-1964-corona-maduro,Padron,1964 Anniversary,Maduro,Corona,6x42,25,388.0,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,Exclusivo,https://www.smallbatchcigar.com/padron-1964-exclusivo-natural,Padron,1964 Anniversary,Natural,Exclusivo,5.5x50,25,429.0,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://www.smallbatchcigar.com/padron-1964-exclusivo-maduro,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,429.0,False,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|NAT|BOX24,No. 9,https://www.smallbatchcigar.com/padron-1926-9-natural,Padron,1926 Serie,Natural,No. 9,5.25x56,24,620.0,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|MAD|BOX24,No. 9,https://www.smallbatchcigar.com/padron-1926-9-maduro,Padron,1926 Serie,Maduro,No. 9,5.25x56,24,620.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.smallbatchcigar.com/hemingway-short-story,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,208.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://www.smallbatchcigar.com/hemingway-work-of-art,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,315.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://www.smallbatchcigar.com/hemingway-work-of-art-maduro,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,319.0,True,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://www.smallbatchcigar.com/vsg-robusto-2,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,432.0,False,
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,Enchantment,https://www.smallbatchcigar.com/ashton-vsg-enchantment,Ashton,VSG,Ecuadorian Sun Grown,Enchantment,5.5x48,22,439.0,True,
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,Spellbound,https://www.smallbatchcigar.com/vsg-spellbound,Ashton,VSG,Ecuadorian Sun Grown,Spellbound,6x50,24,535.0,True,
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,Wizard,https://www.smallbatchcigar.com/vsg-wizard,Ashton,VSG,Ecuadorian Sun Grown,Wizard,7x52,37,790.0,False,
ASHTON|ASHTON|VSG|BELICOSONO.1|BELICOSONO.1|5.5x52|ECU|BOX24,Belicoso No. 1,https://www.smallbatchcigar.com/vsg-belicoso-no-1,Ashton,VSG,Ecuadorian Sun Grown,Belicoso No. 1,5.5x52,24,438.0,True,
ASHTON|ASHTON|VSG|ILLUSION|ILLUSION|6x54|ECU|BOX24,Illusion,https://www.smallbatchcigar.com/vsg-illusion,Ashton,VSG,Ecuadorian Sun Grown,Illusion,6x54,24,427.0,True,
OLIVA|OLIVA|SERIEV|BELICOSO|BELICOSO|5.5x54|ECU|BOX24,Belicoso,https://www.smallbatchcigar.com/oliva-v-belicoso,Oliva,Serie V,Ecuadorian Habano,Belicoso,5.5x54,24,279.0,True,
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,Torpedo,https://www.smallbatchcigar.com/oliva-v-torpedo,Oliva,Serie V,Ecuadorian Habano,Torpedo,6.5x52,24,332.0,True,
OLIVA|OLIVA|SERIEV|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|ECU|BOX24,Double Robusto,https://www.smallbatchcigar.com/oliva-v-double-robusto,Oliva,Serie V,Ecuadorian Habano,Double Robusto,5x54,24,279.0,True,
OLIVA|OLIVA|SERIEV|DOUBLETORO|DOUBLETORO|6x60|ECU|BOX24,Double Toro,https://www.smallbatchcigar.com/oliva-v-double-toro,Oliva,Serie V,Ecuadorian Habano,Double Toro,6x60,24,344.0,True,
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,Robusto,https://www.smallbatchcigar.com/oliva-serie-g-robusto,Oliva,Serie G,Cameroon,Robusto,4.5x50,25,196.0,True,
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,Toro,https://www.smallbatchcigar.com/oliva-serie-g-toro,Oliva,Serie G,Cameroon,Toro,6x50,25,204.0,True,
