cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,Lonsdale Deluxe,https://www.smallbatchcigar.com/herrera-esteli-norteno-lonsdale-2,Drew Estate,Herrera Esteli Norteno,Mexican San Andres,Lonsdale Deluxe,6.25x44,25,284.0,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.smallbatchcigar.com/perdomo-reserve-10th-anniversary-champagne-epicure,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,269.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.smallbatchcigar.com/hemingway-classic,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,297.0,True,
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.smallbatchcigar.com/romeo-y-julieta-1875-churchill,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,321.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.smallbatchcigar.com/hemingway-best-seller,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,243.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.smallbatchcigar.com/arturo-fuente-hemingway-signature,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,310.0,True,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://www.smallbatchcigar.com/padron-1964-diplomatico-maduro,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,491.0,True,
FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,Maduro Toro,https://www.smallbatchcigar.com/olmec-maduro-toro-by-foundation-cigars,Foundation,Olmec,Maduro,Toro,6x52,12,194.0,False,
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://www.smallbatchcigar.com/the-judge-grand-robusto,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,306.0,True,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://www.smallbatchcigar.com/le-bijou-1922-toro,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,283.0,True,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NAT|BOX25,Diplomatico,https://www.smallbatchcigar.com/padron-1964-diplomatico-natural,Padron,1964 Anniversary,Natural,Diplomatico,7x50,25,491.0,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,Principe,https://www.smallbatchcigar.com/padron-1964-principe-natural,Padron,1964 Anniversary,Natural,Principe,4.5x46,25,367.0,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://www.smallbatchcigar.com/padron-1964-principe-maduro,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,367.0,True,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|NAT|BOX25,Corona,https://www.smallbatchcigar.com/padron-1964-corona-natural,Padron,1964 Anniversary,Natural,Corona,6x42,25,388.0,True,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|MAD|BOX25,Corona,https://www.smallbatchcigar.com/padron-1964-corona-maduro,Padron,1964 Anniversary,Maduro,Corona,6x42,25,388.0,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,Exclusivo,https://www.smallbatchcigar.com/padron-1964-exclusivo-natural,Padron,1964 Anniversary,Natural,Exclusivo,5.5x50,25,429.0,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://www.smallbatchcigar.com/padron-1964-exclusivo-maduro,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,429.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.smallbatchcigar.com/hemingway-short-story,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,208.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.smallbatchcigar.com/hemingway-best-seller,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,243.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://www.smallbatchcigar.com/hemingway-work-of-art,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,315.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://www.smallbatchcigar.com/hemingway-work-of-art-maduro,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,319.0,True,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,,https://www.smallbatchcigar.com/vsg-robusto-2
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,,https://www.smallbatchcigar.com/ashton-vsg-enchantment
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,,https://www.smallbatchcigar.com/vsg-spellbound
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,,https://www.smallbatchcigar.com/vsg-wizard
ASHTON|ASHTON|VSG|BELICOSONO.1|BELICOSONO.1|5.5x52|ECU|BOX24,,https://www.smallbatchcigar.com/vsg-belicoso-no-1
ASHTON|ASHTON|VSG|ILLUSION|ILLUSION|6x54|ECU|BOX24,,https://www.smallbatchcigar.com/vsg-illusion
OLIVA|OLIVA|SERIEV|BELICOSO|BELICOSO|5.5x54|ECU|BOX24,,https://www.smallbatchcigar.com/oliva-v-belicoso
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,,https://www.smallbatchcigar.com/oliva-v-torpedo
OLIVA|OLIVA|SERIEV|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|ECU|BOX24,,https://www.smallbatchcigar.com/oliva-v-double-robusto
OLIVA|OLIVA|SERIEV|DOUBLETORO|DOUBLETORO|6x60|ECU|BOX24,,https://www.smallbatchcigar.com/oliva-v-double-toro
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,,https://www.smallbatchcigar.com/oliva-serie-g-robusto
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,,https://www.smallbatchcigar.com/oliva-serie-g-toro
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|ROBUSTO|ROBUSTO|5x50|HON|BOX20,,https://www.smallbatchcigar.com/rocky-patel-vintage-1990-robusto
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORPEDO|TORPEDO|6.5x52|HON|BOX20,,https://www.smallbatchcigar.com/rocky-patel-vintage-1990-torpedo
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|CHURCHILL|CHURCHILL|7x48|HON|BOX20,,https://www.smallbatchcigar.com/rocky-patel-vintage-1990-churchill
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|ROBUSTO|ROBUSTO|5x50|ECU|BOX20,,https://www.smallbatchcigar.com/rocky-patel-vintage-1992-robusto
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|TORPEDO|TORPEDO|6.5x52|ECU|BOX20,,https://www.smallbatchcigar.com/rocky-patel-vintage-1992-torpedo
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|CHURCHILL|CHURCHILL|7x48|ECU|BOX20,,https://www.smallbatchcigar.com/rocky-patel-vintage-1992-churchill
CAO|CAO|FLATHEAD|V450SPARKPLUG|V450SPARKPLUG|4.5x50|CT|BOX24,,https://www.smallbatchcigar.com/cao-flathead-sparkplug
