cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,,https://www.thecigarshop.com/arturo-fuente-hemingway-signature-natural-box-of-2.html
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,,https://www.thecigarshop.com/arturo-fuente-hemingway-between-the-lines-box-of-2.html
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,,https://www.thecigarshop.com/arturo-fuente-hemingway-short-story-maduro-box-of.html
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|MAD|BOX25,,https://www.thecigarshop.com/copy-of-arturo-fuente-hemingway-classic-natural-7x.html
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,,https://www.thecigarshop.com/my-father-le-bijou-1922-toro-6x52-box-of-23-636322.html
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,,https://www.thecigarshop.com/padron-1964-exclusivo-maduro-55x50-box-of-25.html
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,,https://www.thecigarshop.com/padron-1964-exclusivo-maduro-55x50-box-of-25-20573.html
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,,https://www.thecigarshop.com/ashton-vsg-wizard-box-of-37.html
CAO|CAO|FLATHEAD|V770BIGBLOCK|V770BIGBLOCK|7x70|CT|BOX24,,https://www.thecigarshop.com/cao-flathead-v770-big-block-box-of-24.html
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,,https://www.thecigarshop.com/cao-flathead-v660-carb-box-of-24.html
