cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.thecigarshop.com/arturo-fuente-hemingway-signature-natural-box-of-2.html,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,289.97,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://www.thecigarshop.com/arturo-fuente-hemingway-between-the-lines-box-of-2.html,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,479.97,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,Short Story,https://www.thecigarshop.com/arturo-fuente-hemingway-short-story-maduro-box-of.html,Arturo Fuente,Hemingway,Maduro,Short Story,4x49,25,194.97,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|MAD|BOX25,Classic,https://www.thecigarshop.com/copy-of-arturo-fuente-hemingway-classic-natural-7x.html,Arturo Fuente,Hemingway,Maduro,Classic,7x48,25,316.97,True,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://www.thecigarshop.com/my-father-le-bijou-1922-toro-6x52-box-of-23-636322.html,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,253.97,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://www.thecigarshop.com/padron-1964-exclusivo-maduro-55x50-box-of-25.html,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,397.97,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,Exclusivo,https://www.thecigarshop.com/padron-1964-exclusivo-maduro-55x50-box-of-25-20573.html,Padron,1964 Anniversary,Natural,Exclusivo,5.5x50,25,397.97,True,
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,Wizard,https://www.thecigarshop.com/ashton-vsg-wizard-box-of-37.html,Ashton,VSG,Ecuadorian Sun Grown,Wizard,7x52,37,702.97,True,
CAO|CAO|FLATHEAD|V770BIGBLOCK|V770BIGBLOCK|7x70|CT|BOX24,V770 Big Block,https://www.thecigarshop.com/cao-flathead-v770-big-block-box-of-24.html,CAO,Flathead,Connecticut Broadleaf,V770 Big Block,7x70,24,306.97,True,
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,V660 Carb,https://www.thecigarshop.com/cao-flathead-v660-carb-box-of-24.html,CAO,Flathead,Connecticut Broadleaf,V660 Carb,6x60,24,285.97,True,
