title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
Macanudo Inspirado White - Pack of 10,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspirado-white-cigarillos%2F2024702%2F%23p-2056764,Macanudo,Inspirado White,Ecuadorian Connecticut,Minis,4.25 x 32.0,20,15.99,True
Rocky Patel The Edge Maduro - Pack of 10,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-the-edge-toro-maduro-pack-of-10-cigars%2F2056490%2F%23p-2028849,Rocky Patel,The Edge Maduro,Costa Rican Maduro,Howitzer,7.0 x 70.0,10,49.99,True
Macanudo Inspirado Orange Robusto Extra - Pack of 10,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspirado-orange-robusto-extra-pack-of-10%2F2035579%2F%23p-2035577,Macanudo,Inspirado Orange,Ecuadorian Habano,Robusto,5.0 x 50.0,20,65.99,True
Alec Bradley American Sun Grown Robusto Pack of 10 - Pack of 10,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-american-sun-grown-robusto-pack-of-10%2F2024883%2F%23p-2024882,Alec Bradley,American Sun Grown,Ecuadorian Sumatra,Robusto,5.0 x 50.0,20,69.99,True
Macanudo Inspirado Red - Box of 10,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspirado-red-robusto-box-of-10%2F2050240%2F%23p-2037835,Macanudo,Inspirado Red,Honduran Habano,Robusto,5.0 x 50.0,20,76.99,True
Macanudo Inspirado Black Robusto - Pack of 10,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-inspriado-black-robusto-pack-of-10%2F2036649%2F%23p-2005359,Macanudo,Inspirado Black,Connecticut Broadleaf,Robusto,5.0 x 50.0,20,81.99,True
Rocky Patel The Edge Connecticut Robusto - Pack of 10,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-edge-connecticut-robusto-pack-of-10%2F2048909%2F%23p-2009365,Rocky Patel,The Edge Connecticut,Connecticut Shade,Robusto,5.0 x 50.0,20,81.99,True
CAO Gold Robusto Connecticut - Pack of 10,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-gold-robusto-connecticut%2F67296%2F%23p-140876,CAO,Gold,Ecuadorian Connecticut,Robusto,5.0 x 50.0,20,84.99,True
Rocky Patel The Edge Corojo Torpedo - Pack of 10,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-the-edge-corojo-torpedo-pack-of-10%2F2048908%2F%23p-2009341,Rocky Patel,The Edge Corojo,Honduran Corojo,Torpedo,6.125 x 52.0,20,85.99,True
Oliva Connecticut Reserve Robusto - Pack of 10,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-connecticut-reserve-robusto-pack-of-10%2F2025826%2F%23p-165226,Oliva,Connecticut Reserve,Connecticut Shade,Robusto,5.0 x 50.0,20,85.99,True
Rocky Patel The Edge Maduro Torpedo - Pack of 10,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-edge-torpedo-maduro-pack-of-10%2F2048906%2F%23p-2048904,Rocky Patel,The Edge Maduro,Costa Rican Maduro,Torpedo,6.125 x 52.0,20,85.99,True
CAO Flavours Eileen's Dream Tubo - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-flavours-eileens-dream-tubo-cigars%2F2040456%2F%23p-2040455,CAO,Flavours Eileen's Dream,Connecticut Shade,Petite Corona,4.5 x 42.0,20,86.99,True
CAO Gold Churchill Connecticut - Pack of 10,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-gold-churchill-connecticut%2F67845%2F%23p-141485,CAO,Gold,Ecuadorian Connecticut,Churchill,7.0 x 50.0,20,88.99,True
Romeo y Julieta Reserva Real Corona Connecticut - Pack of 10,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fromeo-y-julieta-reserva-real-corona-10-pack%2F94136%2F%23p-177106,Romeo y Julieta,Reserva Real,Ecuador Connecticut,Corona,5.5 x 44.0,25,89.99,True
