brand,title,box_qty,price,url
La Perla Habana,La Perla Habana White Pearl Robusto - BOX (20),20,84.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fla-perla-habana-white-pearl-robusto%2F2038603%2F%23p-2008419
La Perla Habana,La Perla Habana Black Pearl Original Toro - BOX (20),20,82.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fla-pearla-habana-black-pearl-original-toro%2F2022987%2F%23p-2008320
La Perla Habana,La Perla Habana Black Pearl Rojo Toro - Box of 20,20,81.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fla-perla-habana-black-pearl-rojo-toro%2F2022206%2F%23p-2008345
Nica Libre,Nica Libre Connecticut - Box of 20,20,105.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fnica-libre-connecticut-churchill-cigar-box-of-20-cigars%2520%2F2051417%2F%23p-2047301
Brick House,Brick House Corona Larga Classic - Box of 25,25,195.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fbrick-house-corona-larga-classic-cigars%2F76449%2F%23p-167179
Brick House,Brick House Short Torpedo Connecticut Double Connecticut - Box of 25,25,201.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fbrick-house-short-torpedo-connecticut%2F101613%2F%23p-195210
Brick House,Brick House Robusto Connecticut Double Connecticut - Box of 25,25,201.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fbrick-house-robusto-connecticut%2F99313%2F%23p-192659
Brick House,Brick House Corona Larga Connecticut Double Connecticut - Box of 25,25,195.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fbrick-house-corona-larga-double-connecticut%2F99312%2F%23p-192658
Brick House,Brick House Mighty Mighty Connecticut Double Connecticut - Box of 25,25,231.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fbrick-house-mighty-mighty-gordo-connecticut%2F97104%2F%23p-190555
Brick House,Brick House Churchill Classic - Box of 25,25,223.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fbrick-house-churchill-classic-cigars%2F76448%2F%23p-167178
