Brand,Line,Wrapper,Vitola,Length,Ring Gauge,Box Quantity,cigar_id,Priority_Score
Perdomo,Champagne Noir,Connecticut Broadleaf,Churchill,7,54,25,PERDOMO|PERDOMO|CHAMPAGNENOIR|CHURCHILL|CHURCHILL|7x54|CT|BOX25,68
Perdomo,Champagne Noir,Connecticut Broadleaf,Robusto,5,54,25,PERDOMO|PERDOMO|CHAMPAGNENOIR|ROBUSTO|ROBUSTO|5x54|CT|BOX25,68
Perdomo,Champagne Noir,Connecticut Broadleaf,Epicure,6,54,25,PERDOMO|PERDOMO|CHAMPAGNENOIR|EPICURE|EPICURE|6x54|CT|BOX25,68
Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Robusto,5,54,25,PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|ROBUSTO|ROBUSTO|5x54|ECU|BOX25,68
Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Corona,5.5,42,25,PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|CORONA|CORONA|5.5x42|ECU|BOX25,68
Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Churchill,7,54,25,PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|CHURCHILL|CHURCHILL|7x54|ECU|BOX25,68
Perdomo,Reserve 10th Anniversary Box Pressed Champagne,Ecuadorian Connecticut,Toro,6,54,20,PERDOMO|PERDOMO|RESERVE10THANNIVERSARYBOXPRESSEDCHAMPAGNE|TORO|TORO|6x54|ECU|BOX20,67
Perdomo,Reserve 10th Anniversary Box Pressed Champagne,Ecuadorian Connecticut,Robusto,5.5,54,20,PERDOMO|PERDOMO|RESERVE10THANNIVERSARYBOXPRESSEDCHAMPAGNE|ROBUSTO|ROBUSTO|5.5x54|ECU|BOX20,67
Perdomo,Champagne Noir,Connecticut Broadleaf,Super Toro,6,60,25,PERDOMO|PERDOMO|CHAMPAGNENOIR|SUPERTORO|SUPERTORO|6x60|CT|BOX25,65
Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Super Toro,6,60,25,PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|SUPERTORO|SUPERTORO|6x60|ECU|BOX25,65
